Retention Days,Start Date,End Date,User Retention
0,2020-01-01,2020-01-31,100.00%
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-01-01,2020-01-31,49.80%
1,2020-02-01,2020-02-29,49.93%
1,2020-03-01,2020-03-31,50.59%
1,2020-04-01,2020-04-30,49.66%
1,2020-05-01,2020-05-31,42.87%
1,2020-06-01,2020-06-30,43.32%
1,2020-07-01,2020-07-31,45.50%
1,2020-08-01,2020-08-31,46.41%
1,2020-09-01,2020-09-30,56.39%
1,2020-10-01,2020-10-31,55.07%
1,2020-11-01,2020-11-30,48.05%
1,2020-12-01,2020-12-31,41.57%
1,2021-01-01,2021-01-31,35.75%
2,2020-01-01,2020-01-31,34.86%
2,2020-02-01,2020-02-29,37.67%
2,2020-03-01,2020-03-31,39.12%
2,2020-04-01,2020-04-30,35.64%
2,2020-05-01,2020-05-31,30.56%
2,2020-06-01,2020-06-30,28.76%
2,2020-07-01,2020-07-31,31.85%
2,2020-08-01,2020-08-31,33.20%
2,2020-09-01,2020-09-30,45.47%
2,2020-10-01,2020-10-31,45.57%
2,2020-11-01,2020-11-30,39.06%
2,2020-12-01,2020-12-31,33.91%
2,2021-01-01,2021-01-31,27.95%
3,2020-01-01,2020-01-31,27.07%
3,2020-02-01,2020-02-29,30.84%
3,2020-03-01,2020-03-31,32.59%
3,2020-04-01,2020-04-30,28.16%
3,2020-05-01,2020-05-31,24.04%
3,2020-06-01,2020-06-30,21.51%
3,2020-07-01,2020-07-31,24.73%
3,2020-08-01,2020-08-31,26.17%
3,2020-09-01,2020-09-30,39.03%
3,2020-10-01,2020-10-31,39.84%
3,2020-11-01,2020-11-30,33.72%
3,2020-12-01,2020-12-31,29.35%
3,2021-01-01,2021-01-31,23.48%
4,2020-01-01,2020-01-31,22.62%
4,2020-02-01,2020-02-29,26.16%
4,2020-03-01,2020-03-31,27.28%
4,2020-04-01,2020-04-30,23.15%
4,2020-05-01,2020-05-31,20.25%
4,2020-06-01,2020-06-30,18.16%
4,2020-07-01,2020-07-31,21.32%
4,2020-08-01,2020-08-31,22.84%
4,2020-09-01,2020-09-30,36.31%
4,2020-10-01,2020-10-31,37.36%
4,2020-11-01,2020-11-30,31.57%
4,2020-12-01,2020-12-31,26.98%
4,2021-01-01,2021-01-31,21.45%
5,2020-01-01,2020-01-31,19.54%
5,2020-02-01,2020-02-29,22.87%
5,2020-03-01,2020-03-31,23.60%
5,2020-04-01,2020-04-30,19.73%
5,2020-05-01,2020-05-31,17.60%
5,2020-06-01,2020-06-30,15.82%
5,2020-07-01,2020-07-31,18.89%
5,2020-08-01,2020-08-31,20.44%
5,2020-09-01,2020-09-30,34.23%
5,2020-10-01,2020-10-31,35.44%
5,2020-11-01,2020-11-30,29.92%
5,2020-12-01,2020-12-31,25.19%
5,2021-01-01,2021-01-31,19.92%
6,2020-01-01,2020-01-31,17.26%
6,2020-02-01,2020-02-29,20.41%
6,2020-03-01,2020-03-31,20.87%
6,2020-04-01,2020-04-30,17.23%
6,2020-05-01,2020-05-31,15.63%
6,2020-06-01,2020-06-30,14.07%
6,2020-07-01,2020-07-31,17.05%
6,2020-08-01,2020-08-31,18.60%
6,2020-09-01,2020-09-30,32.56%
6,2020-10-01,2020-10-31,33.90%
6,2020-11-01,2020-11-30,28.59%
6,2020-12-01,2020-12-31,23.76%
6,2021-01-01,2021-01-31,18.71%
7,2020-01-01,2020-01-31,15.50%
7,2020-02-01,2020-02-29,18.50%
7,2020-03-01,2020-03-31,18.76%
7,2020-04-01,2020-04-30,15.33%
7,2020-05-01,2020-05-31,14.10%
7,2020-06-01,2020-06-30,12.72%
7,2020-07-01,2020-07-31,15.61%
7,2020-08-01,2020-08-31,17.15%
7,2020-09-01,2020-09-30,31.18%
7,2020-10-01,2020-10-31,32.62%
7,2020-11-01,2020-11-30,27.49%
7,2020-12-01,2020-12-31,22.60%
7,2021-01-01,2021-01-31,17.72%
14,2020-01-01,2020-01-31,9.35%
14,2020-02-01,2020-02-29,11.63%
14,2020-03-01,2020-03-31,11.37%
14,2020-04-01,2020-04-30,8.83%
14,2020-05-01,2020-05-31,8.70%
14,2020-06-01,2020-06-30,7.90%
14,2020-07-01,2020-07-31,10.28%
14,2020-08-01,2020-08-31,11.69%
14,2020-09-01,2020-09-30,25.44%
14,2020-10-01,2020-10-31,27.21%
14,2020-11-01,2020-11-30,22.83%
14,2020-12-01,2020-12-31,17.83%
14,2021-01-01,2021-01-31,13.73%
30,2020-01-01,2020-01-31,5.22%
30,2020-02-01,2020-02-29,6.81%
30,2020-03-01,2020-03-31,6.38%
30,2020-04-01,2020-04-30,4.67%
30,2020-05-01,2020-05-31,4.98%
30,2020-06-01,2020-06-30,4.56%
30,2020-07-01,2020-07-31,6.35%
30,2020-08-01,2020-08-31,7.51%
30,2020-09-01,2020-09-30,20.11%
30,2020-10-01,2020-10-31,22.06%
30,2020-11-01,2020-11-30,18.43%
30,2020-12-01,2020-12-31,13.56%
30,2021-01-01,2021-01-31,10.23%
