Retention Days,Start Date,End Date,User Retention
0,2021-01-01,2021-01-31,100.00%
0,2021-02-01,2021-02-28,100.00%
0,2021-03-01,2021-03-31,100.00%
0,2021-04-01,2021-04-30,100.00%
0,2021-05-01,2021-05-31,100.00%
0,2021-06-01,2021-06-30,100.00%
0,2021-07-01,2021-07-31,100.00%
0,2021-08-01,2021-08-31,100.00%
0,2021-09-01,2021-09-30,100.00%
0,2021-10-01,2021-10-31,100.00%
0,2021-11-01,2021-11-30,100.00%
0,2021-12-01,2021-12-31,100.00%
0,2022-01-01,2022-01-31,100.00%
1,2021-01-01,2021-01-31,35.75%
1,2021-02-01,2021-02-28,28.29%
1,2021-03-01,2021-03-31,25.03%
1,2021-04-01,2021-04-30,23.43%
1,2021-05-01,2021-05-31,22.86%
1,2021-06-01,2021-06-30,22.06%
1,2021-07-01,2021-07-31,20.56%
1,2021-08-01,2021-08-31,20.46%
1,2021-09-01,2021-09-30,20.64%
1,2021-10-01,2021-10-31,20.31%
1,2021-11-01,2021-11-30,21.39%
1,2021-12-01,2021-12-31,23.00%
1,2022-01-01,2022-01-31,21.62%
2,2021-01-01,2021-01-31,27.95%
2,2021-02-01,2021-02-28,21.76%
2,2021-03-01,2021-03-31,17.51%
2,2021-04-01,2021-04-30,15.62%
2,2021-05-01,2021-05-31,14.61%
2,2021-06-01,2021-06-30,13.73%
2,2021-07-01,2021-07-31,12.25%
2,2021-08-01,2021-08-31,12.25%
2,2021-09-01,2021-09-30,12.14%
2,2021-10-01,2021-10-31,12.04%
2,2021-11-01,2021-11-30,12.71%
2,2021-12-01,2021-12-31,13.73%
2,2022-01-01,2022-01-31,12.82%
3,2021-01-01,2021-01-31,23.48%
3,2021-02-01,2021-02-28,18.07%
3,2021-03-01,2021-03-31,13.58%
3,2021-04-01,2021-04-30,11.72%
3,2021-05-01,2021-05-31,10.63%
3,2021-06-01,2021-06-30,9.81%
3,2021-07-01,2021-07-31,8.48%
3,2021-08-01,2021-08-31,8.51%
3,2021-09-01,2021-09-30,8.33%
3,2021-10-01,2021-10-31,8.30%
3,2021-11-01,2021-11-30,8.79%
3,2021-12-01,2021-12-31,9.52%
3,2022-01-01,2022-01-31,8.85%
4,2021-01-01,2021-01-31,21.45%
4,2021-02-01,2021-02-28,16.69%
4,2021-03-01,2021-03-31,12.36%
4,2021-04-01,2021-04-30,10.52%
4,2021-05-01,2021-05-31,9.38%
4,2021-06-01,2021-06-30,8.60%
4,2021-07-01,2021-07-31,7.50%
4,2021-08-01,2021-08-31,7.69%
4,2021-09-01,2021-09-30,7.53%
4,2021-10-01,2021-10-31,7.50%
4,2021-11-01,2021-11-30,7.88%
4,2021-12-01,2021-12-31,8.43%
4,2022-01-01,2022-01-31,7.90%
5,2021-01-01,2021-01-31,19.92%
5,2021-02-01,2021-02-28,15.65%
5,2021-03-01,2021-03-31,11.44%
5,2021-04-01,2021-04-30,9.63%
5,2021-05-01,2021-05-31,8.47%
5,2021-06-01,2021-06-30,7.72%
5,2021-07-01,2021-07-31,6.78%
5,2021-08-01,2021-08-31,7.09%
5,2021-09-01,2021-09-30,6.94%
5,2021-10-01,2021-10-31,6.90%
5,2021-11-01,2021-11-30,7.22%
5,2021-12-01,2021-12-31,7.63%
5,2022-01-01,2022-01-31,7.20%
6,2021-01-01,2021-01-31,18.71%
6,2021-02-01,2021-02-28,14.82%
6,2021-03-01,2021-03-31,10.72%
6,2021-04-01,2021-04-30,8.94%
6,2021-05-01,2021-05-31,7.76%
6,2021-06-01,2021-06-30,7.05%
6,2021-07-01,2021-07-31,6.23%
6,2021-08-01,2021-08-31,6.61%
6,2021-09-01,2021-09-30,6.48%
6,2021-10-01,2021-10-31,6.43%
6,2021-11-01,2021-11-30,6.70%
6,2021-12-01,2021-12-31,7.02%
6,2022-01-01,2022-01-31,6.66%
7,2021-01-01,2021-01-31,17.72%
7,2021-02-01,2021-02-28,14.14%
7,2021-03-01,2021-03-31,10.13%
7,2021-04-01,2021-04-30,8.38%
7,2021-05-01,2021-05-31,7.20%
7,2021-06-01,2021-06-30,6.52%
7,2021-07-01,2021-07-31,5.78%
7,2021-08-01,2021-08-31,6.23%
7,2021-09-01,2021-09-30,6.10%
7,2021-10-01,2021-10-31,6.05%
7,2021-11-01,2021-11-30,6.28%
7,2021-12-01,2021-12-31,6.52%
7,2022-01-01,2022-01-31,6.22%
14,2021-01-01,2021-01-31,13.73%
14,2021-02-01,2021-02-28,11.32%
14,2021-03-01,2021-03-31,7.77%
14,2021-04-01,2021-04-30,6.18%
14,2021-05-01,2021-05-31,5.06%
14,2021-06-01,2021-06-30,4.50%
14,2021-07-01,2021-07-31,4.09%
14,2021-08-01,2021-08-31,4.69%
14,2021-09-01,2021-09-30,4.60%
14,2021-10-01,2021-10-31,4.54%
14,2021-11-01,2021-11-30,4.63%
14,2021-12-01,2021-12-31,4.63%
14,2022-01-01,2022-01-31,4.52%
30,2021-01-01,2021-01-31,10.23%
30,2021-02-01,2021-02-28,8.75%
30,2021-03-01,2021-03-31,5.72%
30,2021-04-01,2021-04-30,4.35%
30,2021-05-01,2021-05-31,3.37%
30,2021-06-01,2021-06-30,2.94%
30,2021-07-01,2021-07-31,2.74%
30,2021-08-01,2021-08-31,3.38%
30,2021-09-01,2021-09-30,3.32%
30,2021-10-01,2021-10-31,3.26%
30,2021-11-01,2021-11-30,3.25%
30,2021-12-01,2021-12-31,3.11%
30,2022-01-01,2022-01-31,3.13%
