2020-01-01,2020-01-01,2020-01-31,49.80%
2020-01-02,2020-01-01,2020-01-31,34.86%
2020-01-03,2020-01-01,2020-01-31,27.07%
2020-01-04,2020-01-01,2020-01-31,22.62%
2020-01-05,2020-01-01,2020-01-31,19.54%
2020-01-06,2020-01-01,2020-01-31,17.26%
2020-01-07,2020-01-01,2020-01-31,15.50%
2020-01-14,2020-01-01,2020-01-31,9.35%
2020-01-30,2020-01-01,2020-01-31,5.22%
2020-02-01,2020-02-01,2020-02-29,49.93%
2020-02-02,2020-02-01,2020-02-29,37.67%
2020-02-03,2020-02-01,2020-02-29,30.84%
2020-02-04,2020-02-01,2020-02-29,26.16%
2020-02-05,2020-02-01,2020-02-29,22.87%
2020-02-06,2020-02-01,2020-02-29,20.41%
2020-02-07,2020-02-01,2020-02-29,18.50%
2020-02-14,2020-02-01,2020-02-29,11.63%
2020-02-27,2020-02-01,2020-02-29,6.81%
2020-03-01,2020-03-01,2020-03-31,50.59%
2020-03-02,2020-03-01,2020-03-31,39.12%
2020-03-03,2020-03-01,2020-03-31,32.59%
2020-03-04,2020-03-01,2020-03-31,27.28%
2020-03-05,2020-03-01,2020-03-31,23.60%
2020-03-06,2020-03-01,2020-03-31,20.87%
2020-03-07,2020-03-01,2020-03-31,18.76%
2020-03-14,2020-03-01,2020-03-31,11.37%
2020-03-30,2020-03-01,2020-03-31,6.38%
2020-04-01,2020-04-01,2020-04-30,49.66%
2020-04-02,2020-04-01,2020-04-30,35.64%
2020-04-03,2020-04-01,2020-04-30,28.16%
2020-04-04,2020-04-01,2020-04-30,23.15%
2020-04-05,2020-04-01,2020-04-30,19.73%
2020-04-06,2020-04-01,2020-04-30,17.23%
2020-04-07,2020-04-01,2020-04-30,15.33%
2020-04-14,2020-04-01,2020-04-30,8.83%
2020-04-30,2020-04-01,2020-04-30,4.67%
2020-05-01,2020-05-01,2020-05-31,42.87%
2020-05-02,2020-05-01,2020-05-31,30.56%
2020-05-03,2020-05-01,2020-05-31,24.04%
2020-05-04,2020-05-01,2020-05-31,20.25%
2020-05-05,2020-05-01,2020-05-31,17.60%
2020-05-06,2020-05-01,2020-05-31,15.63%
2020-05-07,2020-05-01,2020-05-31,14.10%
2020-05-14,2020-05-01,2020-05-31,8.70%
2020-05-30,2020-05-01,2020-05-31,4.98%
2020-06-01,2020-06-01,2020-06-30,43.32%
2020-06-02,2020-06-01,2020-06-30,28.76%
2020-06-03,2020-06-01,2020-06-30,21.51%
2020-06-04,2020-06-01,2020-06-30,18.16%
2020-06-05,2020-06-01,2020-06-30,15.82%
2020-06-06,2020-06-01,2020-06-30,14.07%
2020-06-07,2020-06-01,2020-06-30,12.72%
2020-06-14,2020-06-01,2020-06-30,7.90%
2020-06-30,2020-06-01,2020-06-30,4.56%
2020-07-01,2020-07-01,2020-07-31,45.50%
2020-07-02,2020-07-01,2020-07-31,31.85%
2020-07-03,2020-07-01,2020-07-31,24.73%
2020-07-04,2020-07-01,2020-07-31,21.32%
2020-07-05,2020-07-01,2020-07-31,18.89%
2020-07-06,2020-07-01,2020-07-31,17.05%
2020-07-07,2020-07-01,2020-07-31,15.61%
2020-07-14,2020-07-01,2020-07-31,10.28%
2020-07-30,2020-07-01,2020-07-31,6.35%
2020-08-01,2020-08-01,2020-08-31,46.41%
2020-08-02,2020-08-01,2020-08-31,33.20%
2020-08-03,2020-08-01,2020-08-31,26.17%
2020-08-04,2020-08-01,2020-08-31,22.84%
2020-08-05,2020-08-01,2020-08-31,20.44%
2020-08-06,2020-08-01,2020-08-31,18.60%
2020-08-07,2020-08-01,2020-08-31,17.15%
2020-08-14,2020-08-01,2020-08-31,11.69%
2020-08-30,2020-08-01,2020-08-31,7.51%
2020-09-01,2020-09-01,2020-09-30,56.39%
2020-09-02,2020-09-01,2020-09-30,45.47%
2020-09-03,2020-09-01,2020-09-30,39.03%
2020-09-04,2020-09-01,2020-09-30,36.31%
2020-09-05,2020-09-01,2020-09-30,34.23%
2020-09-06,2020-09-01,2020-09-30,32.56%
2020-09-07,2020-09-01,2020-09-30,31.18%
2020-09-14,2020-09-01,2020-09-30,25.44%
2020-09-30,2020-09-01,2020-09-30,20.11%
2020-10-01,2020-10-01,2020-10-31,55.07%
2020-10-02,2020-10-01,2020-10-31,45.57%
2020-10-03,2020-10-01,2020-10-31,39.84%
2020-10-04,2020-10-01,2020-10-31,37.36%
2020-10-05,2020-10-01,2020-10-31,35.44%
2020-10-06,2020-10-01,2020-10-31,33.90%
2020-10-07,2020-10-01,2020-10-31,32.62%
2020-10-14,2020-10-01,2020-10-31,27.21%
2020-10-30,2020-10-01,2020-10-31,22.06%
2020-11-01,2020-11-01,2020-11-30,48.05%
2020-11-02,2020-11-01,2020-11-30,39.06%
2020-11-03,2020-11-01,2020-11-30,33.72%
2020-11-04,2020-11-01,2020-11-30,31.57%
2020-11-05,2020-11-01,2020-11-30,29.92%
2020-11-06,2020-11-01,2020-11-30,28.59%
2020-11-07,2020-11-01,2020-11-30,27.49%
2020-11-14,2020-11-01,2020-11-30,22.83%
2020-11-30,2020-11-01,2020-11-30,18.43%
2020-12-01,2020-12-01,2020-12-31,41.57%
2020-12-02,2020-12-01,2020-12-31,33.91%
2020-12-03,2020-12-01,2020-12-31,29.35%
2020-12-04,2020-12-01,2020-12-31,26.98%
2020-12-05,2020-12-01,2020-12-31,25.19%
2020-12-06,2020-12-01,2020-12-31,23.76%
2020-12-07,2020-12-01,2020-12-31,22.60%
2020-12-14,2020-12-01,2020-12-31,17.83%
2020-12-30,2020-12-01,2020-12-31,13.56%
2021-01-01,2021-01-01,2021-01-31,35.75%
2021-01-02,2021-01-01,2021-01-31,27.95%
2021-01-03,2021-01-01,2021-01-31,23.48%
2021-01-04,2021-01-01,2021-01-31,21.45%
2021-01-05,2021-01-01,2021-01-31,19.92%
2021-01-06,2021-01-01,2021-01-31,18.71%
2021-01-07,2021-01-01,2021-01-31,17.72%
2021-01-14,2021-01-01,2021-01-31,13.73%
2021-01-30,2021-01-01,2021-01-31,10.23%
