Retention Days,Start Date,End Date,User Retention
0,2021-01-01,2021-01-31,100.00%
0,2021-02-01,2021-02-28,100.00%
0,2021-03-01,2021-03-31,100.00%
0,2021-04-01,2021-04-30,100.00%
0,2021-05-01,2021-05-31,100.00%
0,2021-06-01,2021-06-30,100.00%
0,2021-07-01,2021-07-31,100.00%
0,2021-08-01,2021-08-31,100.00%
0,2021-09-01,2021-09-30,100.00%
0,2021-10-01,2021-10-31,100.00%
0,2021-11-01,2021-11-30,100.00%
0,2021-12-01,2021-12-31,100.00%
0,2022-01-01,2022-01-31,100.00%
1,2021-01-01,2021-01-31,33.80%
1,2021-02-01,2021-02-28,33.62%
1,2021-03-01,2021-03-31,37.13%
1,2021-04-01,2021-04-30,36.53%
1,2021-05-01,2021-05-31,34.76%
1,2021-06-01,2021-06-30,32.33%
1,2021-07-01,2021-07-31,34.58%
1,2021-08-01,2021-08-31,31.12%
1,2021-09-01,2021-09-30,30.04%
1,2021-10-01,2021-10-31,30.90%
1,2021-11-01,2021-11-30,36.50%
1,2021-12-01,2021-12-31,39.55%
1,2022-01-01,2022-01-31,34.71%
2,2021-01-01,2021-01-31,23.49%
2,2021-02-01,2021-02-28,22.75%
2,2021-03-01,2021-03-31,25.39%
2,2021-04-01,2021-04-30,24.05%
2,2021-05-01,2021-05-31,23.43%
2,2021-06-01,2021-06-30,20.98%
2,2021-07-01,2021-07-31,21.67%
2,2021-08-01,2021-08-31,20.28%
2,2021-09-01,2021-09-30,20.57%
2,2021-10-01,2021-10-31,21.41%
2,2021-11-01,2021-11-30,25.07%
2,2021-12-01,2021-12-31,27.88%
2,2022-01-01,2022-01-31,23.69%
3,2021-01-01,2021-01-31,18.14%
3,2021-02-01,2021-02-28,17.24%
3,2021-03-01,2021-03-31,19.39%
3,2021-04-01,2021-04-30,17.87%
3,2021-05-01,2021-05-31,17.72%
3,2021-06-01,2021-06-30,15.44%
3,2021-07-01,2021-07-31,15.55%
3,2021-08-01,2021-08-31,14.97%
3,2021-09-01,2021-09-30,15.72%
3,2021-10-01,2021-10-31,16.50%
3,2021-11-01,2021-11-30,19.20%
3,2021-12-01,2021-12-31,21.75%
3,2022-01-01,2022-01-31,18.07%
4,2021-01-01,2021-01-31,16.69%
4,2021-02-01,2021-02-28,15.73%
4,2021-03-01,2021-03-31,17.65%
4,2021-04-01,2021-04-30,16.31%
4,2021-05-01,2021-05-31,16.26%
4,2021-06-01,2021-06-30,14.10%
4,2021-07-01,2021-07-31,14.45%
4,2021-08-01,2021-08-31,13.97%
4,2021-09-01,2021-09-30,14.75%
4,2021-10-01,2021-10-31,15.48%
4,2021-11-01,2021-11-30,17.58%
4,2021-12-01,2021-12-31,19.71%
4,2022-01-01,2022-01-31,16.49%
5,2021-01-01,2021-01-31,15.58%
5,2021-02-01,2021-02-28,14.60%
5,2021-03-01,2021-03-31,16.34%
5,2021-04-01,2021-04-30,15.13%
5,2021-05-01,2021-05-31,15.17%
5,2021-06-01,2021-06-30,13.10%
5,2021-07-01,2021-07-31,13.61%
5,2021-08-01,2021-08-31,13.21%
5,2021-09-01,2021-09-30,14.01%
5,2021-10-01,2021-10-31,14.70%
5,2021-11-01,2021-11-30,16.35%
5,2021-12-01,2021-12-31,18.18%
5,2022-01-01,2022-01-31,15.31%
6,2021-01-01,2021-01-31,14.71%
6,2021-02-01,2021-02-28,13.71%
6,2021-03-01,2021-03-31,15.31%
6,2021-04-01,2021-04-30,14.20%
6,2021-05-01,2021-05-31,14.30%
6,2021-06-01,2021-06-30,12.31%
6,2021-07-01,2021-07-31,12.94%
6,2021-08-01,2021-08-31,12.60%
6,2021-09-01,2021-09-30,13.41%
6,2021-10-01,2021-10-31,14.06%
6,2021-11-01,2021-11-30,15.38%
6,2021-12-01,2021-12-31,16.99%
6,2022-01-01,2022-01-31,14.37%
7,2021-01-01,2021-01-31,13.99%
7,2021-02-01,2021-02-28,12.98%
7,2021-03-01,2021-03-31,14.47%
7,2021-04-01,2021-04-30,13.44%
7,2021-05-01,2021-05-31,13.58%
7,2021-06-01,2021-06-30,11.66%
7,2021-07-01,2021-07-31,12.38%
7,2021-08-01,2021-08-31,12.09%
7,2021-09-01,2021-09-30,12.91%
7,2021-10-01,2021-10-31,13.54%
7,2021-11-01,2021-11-30,14.58%
7,2021-12-01,2021-12-31,16.01%
7,2022-01-01,2022-01-31,13.60%
14,2021-01-01,2021-01-31,11.05%
14,2021-02-01,2021-02-28,10.04%
14,2021-03-01,2021-03-31,11.09%
14,2021-04-01,2021-04-30,10.38%
14,2021-05-01,2021-05-31,10.67%
14,2021-06-01,2021-06-30,9.04%
14,2021-07-01,2021-07-31,10.07%
14,2021-08-01,2021-08-31,9.96%
14,2021-09-01,2021-09-30,10.79%
14,2021-10-01,2021-10-31,11.32%
14,2021-11-01,2021-11-30,11.36%
14,2021-12-01,2021-12-31,12.13%
14,2022-01-01,2022-01-31,10.51%
30,2021-01-01,2021-01-31,8.41%
30,2021-02-01,2021-02-28,7.46%
30,2021-03-01,2021-03-31,8.16%
30,2021-04-01,2021-04-30,7.70%
30,2021-05-01,2021-05-31,8.08%
30,2021-06-01,2021-06-30,6.74%
30,2021-07-01,2021-07-31,7.93%
30,2021-08-01,2021-08-31,7.97%
30,2021-09-01,2021-09-30,8.78%
30,2021-10-01,2021-10-31,9.20%
30,2021-11-01,2021-11-30,8.52%
30,2021-12-01,2021-12-31,8.80%
30,2022-01-01,2022-01-31,7.81%
