2020-01-01,2020-01-01,2020-01-31,38.17%
2020-01-02,2020-01-01,2020-01-31,27.05%
2020-01-03,2020-01-01,2020-01-31,21.19%
2020-01-04,2020-01-01,2020-01-31,19.17%
2020-01-05,2020-01-01,2020-01-31,17.66%
2020-01-06,2020-01-01,2020-01-31,16.48%
2020-01-07,2020-01-01,2020-01-31,15.52%
2020-01-14,2020-01-01,2020-01-31,11.70%
2020-01-30,2020-01-01,2020-01-31,8.44%
2020-02-01,2020-02-01,2020-02-29,38.77%
2020-02-02,2020-02-01,2020-02-29,27.47%
2020-02-03,2020-02-01,2020-02-29,21.52%
2020-02-04,2020-02-01,2020-02-29,19.37%
2020-02-05,2020-02-01,2020-02-29,17.78%
2020-02-06,2020-02-01,2020-02-29,16.54%
2020-02-07,2020-02-01,2020-02-29,15.53%
2020-02-14,2020-02-01,2020-02-29,11.56%
2020-02-27,2020-02-01,2020-02-29,8.22%
2020-03-01,2020-03-01,2020-03-31,39.69%
2020-03-02,2020-03-01,2020-03-31,26.74%
2020-03-03,2020-03-01,2020-03-31,20.21%
2020-03-04,2020-03-01,2020-03-31,18.22%
2020-03-05,2020-03-01,2020-03-31,16.74%
2020-03-06,2020-03-01,2020-03-31,15.58%
2020-03-07,2020-03-01,2020-03-31,14.64%
2020-03-14,2020-03-01,2020-03-31,10.93%
2020-03-30,2020-03-01,2020-03-31,7.80%
2020-04-01,2020-04-01,2020-04-30,35.37%
2020-04-02,2020-04-01,2020-04-30,24.35%
2020-04-03,2020-04-01,2020-04-30,18.68%
2020-04-04,2020-04-01,2020-04-30,16.68%
2020-04-05,2020-04-01,2020-04-30,15.20%
2020-04-06,2020-04-01,2020-04-30,14.06%
2020-04-07,2020-04-01,2020-04-30,13.14%
2020-04-14,2020-04-01,2020-04-30,9.55%
2020-04-30,2020-04-01,2020-04-30,6.60%
2020-05-01,2020-05-01,2020-05-31,31.13%
2020-05-02,2020-05-01,2020-05-31,21.74%
2020-05-03,2020-05-01,2020-05-31,16.85%
2020-05-04,2020-05-01,2020-05-31,15.36%
2020-05-05,2020-05-01,2020-05-31,14.24%
2020-05-06,2020-05-01,2020-05-31,13.36%
2020-05-07,2020-05-01,2020-05-31,12.64%
2020-05-14,2020-05-01,2020-05-31,9.74%
2020-05-30,2020-05-01,2020-05-31,7.20%
2020-06-01,2020-06-01,2020-06-30,28.35%
2020-06-02,2020-06-01,2020-06-30,19.83%
2020-06-03,2020-06-01,2020-06-30,15.38%
2020-06-04,2020-06-01,2020-06-30,14.26%
2020-06-05,2020-06-01,2020-06-30,13.41%
2020-06-06,2020-06-01,2020-06-30,12.72%
2020-06-07,2020-06-01,2020-06-30,12.16%
2020-06-14,2020-06-01,2020-06-30,9.82%
2020-06-30,2020-06-01,2020-06-30,7.68%
2020-07-01,2020-07-01,2020-07-31,28.30%
2020-07-02,2020-07-01,2020-07-31,18.96%
2020-07-03,2020-07-01,2020-07-31,14.27%
2020-07-04,2020-07-01,2020-07-31,13.22%
2020-07-05,2020-07-01,2020-07-31,12.43%
2020-07-06,2020-07-01,2020-07-31,11.79%
2020-07-07,2020-07-01,2020-07-31,11.26%
2020-07-14,2020-07-01,2020-07-31,9.09%
2020-07-30,2020-07-01,2020-07-31,7.09%
2020-08-01,2020-08-01,2020-08-31,28.67%
2020-08-02,2020-08-01,2020-08-31,19.07%
2020-08-03,2020-08-01,2020-08-31,14.27%
2020-08-04,2020-08-01,2020-08-31,13.31%
2020-08-05,2020-08-01,2020-08-31,12.56%
2020-08-06,2020-08-01,2020-08-31,11.97%
2020-08-07,2020-08-01,2020-08-31,11.48%
2020-08-14,2020-08-01,2020-08-31,9.41%
2020-08-30,2020-08-01,2020-08-31,7.49%
2020-09-01,2020-09-01,2020-09-30,31.35%
2020-09-02,2020-09-01,2020-09-30,21.18%
2020-09-03,2020-09-01,2020-09-30,16.03%
2020-09-04,2020-09-01,2020-09-30,14.82%
2020-09-05,2020-09-01,2020-09-30,13.90%
2020-09-06,2020-09-01,2020-09-30,13.17%
2020-09-07,2020-09-01,2020-09-30,12.56%
2020-09-14,2020-09-01,2020-09-30,10.07%
2020-09-30,2020-09-01,2020-09-30,7.80%
2020-10-01,2020-10-01,2020-10-31,30.15%
2020-10-02,2020-10-01,2020-10-31,21.11%
2020-10-03,2020-10-01,2020-10-31,16.40%
2020-10-04,2020-10-01,2020-10-31,15.17%
2020-10-05,2020-10-01,2020-10-31,14.24%
2020-10-06,2020-10-01,2020-10-31,13.49%
2020-10-07,2020-10-01,2020-10-31,12.88%
2020-10-14,2020-10-01,2020-10-31,10.35%
2020-10-30,2020-10-01,2020-10-31,8.04%
2020-11-01,2020-11-01,2020-11-30,32.13%
2020-11-02,2020-11-01,2020-11-30,22.12%
2020-11-03,2020-11-01,2020-11-30,16.97%
2020-11-04,2020-11-01,2020-11-30,15.42%
2020-11-05,2020-11-01,2020-11-30,14.27%
2020-11-06,2020-11-01,2020-11-30,13.35%
2020-11-07,2020-11-01,2020-11-30,12.61%
2020-11-14,2020-11-01,2020-11-30,9.63%
2020-11-30,2020-11-01,2020-11-30,7.06%
2020-12-01,2020-12-01,2020-12-31,29.52%
2020-12-02,2020-12-01,2020-12-31,21.43%
2020-12-03,2020-12-01,2020-12-31,17.08%
2020-12-04,2020-12-01,2020-12-31,15.69%
2020-12-05,2020-12-01,2020-12-31,14.64%
2020-12-06,2020-12-01,2020-12-31,13.80%
2020-12-07,2020-12-01,2020-12-31,13.12%
2020-12-14,2020-12-01,2020-12-31,10.33%
2020-12-30,2020-12-01,2020-12-31,7.84%
2021-01-01,2021-01-01,2021-01-31,33.80%
2021-01-02,2021-01-01,2021-01-31,23.49%
2021-01-03,2021-01-01,2021-01-31,18.14%
2021-01-04,2021-01-01,2021-01-31,16.69%
2021-01-05,2021-01-01,2021-01-31,15.58%
2021-01-06,2021-01-01,2021-01-31,14.71%
2021-01-07,2021-01-01,2021-01-31,13.99%
2021-01-14,2021-01-01,2021-01-31,11.05%
2021-01-30,2021-01-01,2021-01-31,8.41%
2021-02-01,2021-02-01,2021-02-28,33.62%
2021-02-02,2021-02-01,2021-02-28,22.75%
2021-02-03,2021-02-01,2021-02-28,17.24%
2021-02-04,2021-02-01,2021-02-28,15.73%
2021-02-05,2021-02-01,2021-02-28,14.60%
2021-02-06,2021-02-01,2021-02-28,13.71%
2021-02-07,2021-02-01,2021-02-28,12.98%
2021-02-14,2021-02-01,2021-02-28,10.04%
2021-02-27,2021-02-01,2021-02-28,7.46%
2021-03-01,2021-03-01,2021-03-31,37.13%
2021-03-02,2021-03-01,2021-03-31,25.39%
2021-03-03,2021-03-01,2021-03-31,19.39%
2021-03-04,2021-03-01,2021-03-31,17.65%
2021-03-05,2021-03-01,2021-03-31,16.34%
2021-03-06,2021-03-01,2021-03-31,15.31%
2021-03-07,2021-03-01,2021-03-31,14.47%
2021-03-14,2021-03-01,2021-03-31,11.09%
2021-03-30,2021-03-01,2021-03-31,8.16%
2021-04-01,2021-04-01,2021-04-30,36.53%
2021-04-02,2021-04-01,2021-04-30,24.05%
2021-04-03,2021-04-01,2021-04-30,17.87%
2021-04-04,2021-04-01,2021-04-30,16.31%
2021-04-05,2021-04-01,2021-04-30,15.13%
2021-04-06,2021-04-01,2021-04-30,14.20%
2021-04-07,2021-04-01,2021-04-30,13.44%
2021-04-14,2021-04-01,2021-04-30,10.38%
2021-04-30,2021-04-01,2021-04-30,7.70%
2021-05-01,2021-05-01,2021-05-31,34.76%
2021-05-02,2021-05-01,2021-05-31,23.43%
2021-05-03,2021-05-01,2021-05-31,17.72%
2021-05-04,2021-05-01,2021-05-31,16.26%
2021-05-05,2021-05-01,2021-05-31,15.17%
2021-05-06,2021-05-01,2021-05-31,14.30%
2021-05-07,2021-05-01,2021-05-31,13.58%
2021-05-14,2021-05-01,2021-05-31,10.67%
2021-05-30,2021-05-01,2021-05-31,8.08%
2021-06-01,2021-06-01,2021-06-30,32.33%
2021-06-02,2021-06-01,2021-06-30,20.98%
2021-06-03,2021-06-01,2021-06-30,15.44%
2021-06-04,2021-06-01,2021-06-30,14.10%
2021-06-05,2021-06-01,2021-06-30,13.10%
2021-06-06,2021-06-01,2021-06-30,12.31%
2021-06-07,2021-06-01,2021-06-30,11.66%
2021-06-14,2021-06-01,2021-06-30,9.04%
2021-06-30,2021-06-01,2021-06-30,6.74%
2021-07-01,2021-07-01,2021-07-31,34.58%
2021-07-02,2021-07-01,2021-07-31,21.67%
2021-07-03,2021-07-01,2021-07-31,15.55%
2021-07-04,2021-07-01,2021-07-31,14.45%
2021-07-05,2021-07-01,2021-07-31,13.61%
2021-07-06,2021-07-01,2021-07-31,12.94%
2021-07-07,2021-07-01,2021-07-31,12.38%
2021-07-14,2021-07-01,2021-07-31,10.07%
2021-07-30,2021-07-01,2021-07-31,7.93%
2021-08-01,2021-08-01,2021-08-31,31.12%
2021-08-02,2021-08-01,2021-08-31,20.28%
2021-08-03,2021-08-01,2021-08-31,14.97%
2021-08-04,2021-08-01,2021-08-31,13.97%
2021-08-05,2021-08-01,2021-08-31,13.21%
2021-08-06,2021-08-01,2021-08-31,12.60%
2021-08-07,2021-08-01,2021-08-31,12.09%
2021-08-14,2021-08-01,2021-08-31,9.96%
2021-08-30,2021-08-01,2021-08-31,7.97%
2021-09-01,2021-09-01,2021-09-30,30.04%
2021-09-02,2021-09-01,2021-09-30,20.57%
2021-09-03,2021-09-01,2021-09-30,15.72%
2021-09-04,2021-09-01,2021-09-30,14.75%
2021-09-05,2021-09-01,2021-09-30,14.01%
2021-09-06,2021-09-01,2021-09-30,13.41%
2021-09-07,2021-09-01,2021-09-30,12.91%
2021-09-14,2021-09-01,2021-09-30,10.79%
2021-09-30,2021-09-01,2021-09-30,8.78%
2021-10-01,2021-10-01,2021-10-31,30.90%
2021-10-02,2021-10-01,2021-10-31,21.41%
2021-10-03,2021-10-01,2021-10-31,16.50%
2021-10-04,2021-10-01,2021-10-31,15.48%
2021-10-05,2021-10-01,2021-10-31,14.70%
2021-10-06,2021-10-01,2021-10-31,14.06%
2021-10-07,2021-10-01,2021-10-31,13.54%
2021-10-14,2021-10-01,2021-10-31,11.32%
2021-10-30,2021-10-01,2021-10-31,9.20%
2021-11-01,2021-11-01,2021-11-30,36.50%
2021-11-02,2021-11-01,2021-11-30,25.07%
2021-11-03,2021-11-01,2021-11-30,19.20%
2021-11-04,2021-11-01,2021-11-30,17.58%
2021-11-05,2021-11-01,2021-11-30,16.35%
2021-11-06,2021-11-01,2021-11-30,15.38%
2021-11-07,2021-11-01,2021-11-30,14.58%
2021-11-14,2021-11-01,2021-11-30,11.36%
2021-11-30,2021-11-01,2021-11-30,8.52%
2021-12-01,2021-12-01,2021-12-31,39.55%
2021-12-02,2021-12-01,2021-12-31,27.88%
2021-12-03,2021-12-01,2021-12-31,21.75%
2021-12-04,2021-12-01,2021-12-31,19.71%
2021-12-05,2021-12-01,2021-12-31,18.18%
2021-12-06,2021-12-01,2021-12-31,16.99%
2021-12-07,2021-12-01,2021-12-31,16.01%
2021-12-14,2021-12-01,2021-12-31,12.13%
2021-12-30,2021-12-01,2021-12-31,8.80%
