Retention Days,Start Date,End Date,User Retention
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-03-01,2020-03-31,25.02%
1,2020-04-01,2020-04-30,25.02%
1,2020-05-01,2020-05-31,35.25%
1,2020-06-01,2020-06-30,34.83%
1,2020-07-01,2020-07-31,39.65%
1,2020-08-01,2020-08-31,33.23%
1,2020-09-01,2020-09-30,28.39%
1,2020-10-01,2020-10-31,28.23%
1,2020-11-01,2020-11-30,25.37%
1,2020-12-01,2020-12-31,27.60%
1,2021-01-01,2021-01-31,25.78%
2,2020-03-01,2020-03-31,20.25%
2,2020-04-01,2020-04-30,20.25%
2,2020-05-01,2020-05-31,26.08%
2,2020-06-01,2020-06-30,23.10%
2,2020-07-01,2020-07-31,28.01%
2,2020-08-01,2020-08-31,22.32%
2,2020-09-01,2020-09-30,19.06%
2,2020-10-01,2020-10-31,18.22%
2,2020-11-01,2020-11-30,17.09%
2,2020-12-01,2020-12-31,17.87%
2,2021-01-01,2021-01-31,18.06%
3,2020-03-01,2020-03-31,17.43%
3,2020-04-01,2020-04-30,17.43%
3,2020-05-01,2020-05-31,21.06%
3,2020-06-01,2020-06-30,17.27%
3,2020-07-01,2020-07-31,21.89%
3,2020-08-01,2020-08-31,16.83%
3,2020-09-01,2020-09-30,14.37%
3,2020-10-01,2020-10-31,13.35%
3,2020-11-01,2020-11-30,12.92%
3,2020-12-01,2020-12-31,13.12%
3,2021-01-01,2021-01-31,14.03%
4,2020-03-01,2020-03-31,16.30%
4,2020-04-01,2020-04-30,16.30%
4,2020-05-01,2020-05-31,18.57%
4,2020-06-01,2020-06-30,15.02%
4,2020-07-01,2020-07-31,18.71%
4,2020-08-01,2020-08-31,14.83%
4,2020-09-01,2020-09-30,13.01%
4,2020-10-01,2020-10-31,12.28%
4,2020-11-01,2020-11-30,12.01%
4,2020-12-01,2020-12-31,12.16%
4,2021-01-01,2021-01-31,13.06%
5,2020-03-01,2020-03-31,15.44%
5,2020-04-01,2020-04-30,15.44%
5,2020-05-01,2020-05-31,16.76%
5,2020-06-01,2020-06-30,13.41%
5,2020-07-01,2020-07-31,16.47%
5,2020-08-01,2020-08-31,13.36%
5,2020-09-01,2020-09-30,11.99%
5,2020-10-01,2020-10-31,11.47%
5,2020-11-01,2020-11-30,11.31%
5,2020-12-01,2020-12-31,11.43%
5,2021-01-01,2021-01-31,12.32%
6,2020-03-01,2020-03-31,14.74%
6,2020-04-01,2020-04-30,14.74%
6,2020-05-01,2020-05-31,15.36%
6,2020-06-01,2020-06-30,12.18%
6,2020-07-01,2020-07-31,14.78%
6,2020-08-01,2020-08-31,12.24%
6,2020-09-01,2020-09-30,11.20%
6,2020-10-01,2020-10-31,10.83%
6,2020-11-01,2020-11-30,10.76%
6,2020-12-01,2020-12-31,10.85%
6,2021-01-01,2021-01-31,11.72%
7,2020-03-01,2020-03-31,14.16%
7,2020-04-01,2020-04-30,14.16%
7,2020-05-01,2020-05-31,14.25%
7,2020-06-01,2020-06-30,11.21%
7,2020-07-01,2020-07-31,13.45%
7,2020-08-01,2020-08-31,11.34%
7,2020-09-01,2020-09-30,10.55%
7,2020-10-01,2020-10-31,10.30%
7,2020-11-01,2020-11-30,10.30%
7,2020-12-01,2020-12-31,10.36%
7,2021-01-01,2021-01-31,11.23%
14,2020-03-01,2020-03-31,11.73%
14,2020-04-01,2020-04-30,11.73%
14,2020-05-01,2020-05-31,9.99%
14,2020-06-01,2020-06-30,7.58%
14,2020-07-01,2020-07-31,8.65%
14,2020-08-01,2020-08-31,7.93%
14,2020-09-01,2020-09-30,7.98%
14,2020-10-01,2020-10-31,8.14%
14,2020-11-01,2020-11-30,8.39%
14,2020-12-01,2020-12-31,8.37%
14,2021-01-01,2021-01-31,9.19%
30,2020-03-01,2020-03-31,9.44%
30,2020-04-01,2020-04-30,9.44%
30,2020-05-01,2020-05-31,6.63%
30,2020-06-01,2020-06-30,4.82%
30,2020-07-01,2020-07-31,5.20%
30,2020-08-01,2020-08-31,5.25%
30,2020-09-01,2020-09-30,5.77%
30,2020-10-01,2020-10-31,6.20%
30,2020-11-01,2020-11-30,6.62%
30,2020-12-01,2020-12-31,6.53%
30,2021-01-01,2021-01-31,7.28%
