2020-03-01,2020-03-01,2020-03-31,25.02%
2020-03-02,2020-03-01,2020-03-31,20.25%
2020-03-03,2020-03-01,2020-03-31,17.43%
2020-03-04,2020-03-01,2020-03-31,16.30%
2020-03-05,2020-03-01,2020-03-31,15.44%
2020-03-06,2020-03-01,2020-03-31,14.74%
2020-03-07,2020-03-01,2020-03-31,14.16%
2020-03-14,2020-03-01,2020-03-31,11.73%
2020-03-30,2020-03-01,2020-03-31,9.44%
2020-04-01,2020-04-01,2020-04-30,25.02%
2020-04-02,2020-04-01,2020-04-30,20.25%
2020-04-03,2020-04-01,2020-04-30,17.43%
2020-04-04,2020-04-01,2020-04-30,16.30%
2020-04-05,2020-04-01,2020-04-30,15.44%
2020-04-06,2020-04-01,2020-04-30,14.74%
2020-04-07,2020-04-01,2020-04-30,14.16%
2020-04-14,2020-04-01,2020-04-30,11.73%
2020-04-30,2020-04-01,2020-04-30,9.44%
2020-05-01,2020-05-01,2020-05-31,35.25%
2020-05-02,2020-05-01,2020-05-31,26.08%
2020-05-03,2020-05-01,2020-05-31,21.06%
2020-05-04,2020-05-01,2020-05-31,18.57%
2020-05-05,2020-05-01,2020-05-31,16.76%
2020-05-06,2020-05-01,2020-05-31,15.36%
2020-05-07,2020-05-01,2020-05-31,14.25%
2020-05-14,2020-05-01,2020-05-31,9.99%
2020-05-30,2020-05-01,2020-05-31,6.63%
2020-06-01,2020-06-01,2020-06-30,34.83%
2020-06-02,2020-06-01,2020-06-30,23.10%
2020-06-03,2020-06-01,2020-06-30,17.27%
2020-06-04,2020-06-01,2020-06-30,15.02%
2020-06-05,2020-06-01,2020-06-30,13.41%
2020-06-06,2020-06-01,2020-06-30,12.18%
2020-06-07,2020-06-01,2020-06-30,11.21%
2020-06-14,2020-06-01,2020-06-30,7.58%
2020-06-30,2020-06-01,2020-06-30,4.82%
2020-07-01,2020-07-01,2020-07-31,39.65%
2020-07-02,2020-07-01,2020-07-31,28.01%
2020-07-03,2020-07-01,2020-07-31,21.89%
2020-07-04,2020-07-01,2020-07-31,18.71%
2020-07-05,2020-07-01,2020-07-31,16.47%
2020-07-06,2020-07-01,2020-07-31,14.78%
2020-07-07,2020-07-01,2020-07-31,13.45%
2020-07-14,2020-07-01,2020-07-31,8.65%
2020-07-30,2020-07-01,2020-07-31,5.20%
2020-08-01,2020-08-01,2020-08-31,33.23%
2020-08-02,2020-08-01,2020-08-31,22.32%
2020-08-03,2020-08-01,2020-08-31,16.83%
2020-08-04,2020-08-01,2020-08-31,14.83%
