Retention Days,Start Date,End Date,User Retention
0,2020-01-01,2020-01-31,100.00%
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-01-01,2020-01-31,35.19%
1,2020-02-01,2020-02-29,31.39%
1,2020-03-01,2020-03-31,34.76%
1,2020-04-01,2020-04-30,36.31%
1,2020-05-01,2020-05-31,35.59%
1,2020-06-01,2020-06-30,31.43%
1,2020-07-01,2020-07-31,31.56%
1,2020-08-01,2020-08-31,28.34%
1,2020-09-01,2020-09-30,28.28%
1,2020-10-01,2020-10-31,29.72%
1,2020-11-01,2020-11-30,28.66%
1,2020-12-01,2020-12-31,33.07%
1,2021-01-01,2021-01-31,32.40%
2,2020-01-01,2020-01-31,29.04%
2,2020-02-01,2020-02-29,25.75%
2,2020-03-01,2020-03-31,28.37%
2,2020-04-01,2020-04-30,29.05%
2,2020-05-01,2020-05-31,27.62%
2,2020-06-01,2020-06-30,23.76%
2,2020-07-01,2020-07-31,24.93%
2,2020-08-01,2020-08-31,22.94%
2,2020-09-01,2020-09-30,21.75%
2,2020-10-01,2020-10-31,23.61%
2,2020-11-01,2020-11-30,23.61%
2,2020-12-01,2020-12-31,26.22%
2,2021-01-01,2021-01-31,26.13%
3,2020-01-01,2020-01-31,25.34%
3,2020-02-01,2020-02-29,22.37%
3,2020-03-01,2020-03-31,24.57%
3,2020-04-01,2020-04-30,24.81%
3,2020-05-01,2020-05-31,23.08%
3,2020-06-01,2020-06-30,19.49%
3,2020-07-01,2020-07-31,21.08%
3,2020-08-01,2020-08-31,19.75%
3,2020-09-01,2020-09-30,18.06%
3,2020-10-01,2020-10-31,20.06%
3,2020-11-01,2020-11-30,20.58%
3,2020-12-01,2020-12-31,22.24%
3,2021-01-01,2021-01-31,22.44%
4,2020-01-01,2020-01-31,23.80%
4,2020-02-01,2020-02-29,21.15%
4,2020-03-01,2020-03-31,23.23%
4,2020-04-01,2020-04-30,23.46%
4,2020-05-01,2020-05-31,21.81%
4,2020-06-01,2020-06-30,18.44%
4,2020-07-01,2020-07-31,19.87%
4,2020-08-01,2020-08-31,18.74%
4,2020-09-01,2020-09-30,17.07%
4,2020-10-01,2020-10-31,19.03%
4,2020-11-01,2020-11-30,19.44%
4,2020-12-01,2020-12-31,21.01%
4,2021-01-01,2021-01-31,21.21%
5,2020-01-01,2020-01-31,22.61%
5,2020-02-01,2020-02-29,20.21%
5,2020-03-01,2020-03-31,22.19%
5,2020-04-01,2020-04-30,22.42%
5,2020-05-01,2020-05-31,20.83%
5,2020-06-01,2020-06-30,17.62%
5,2020-07-01,2020-07-31,18.92%
5,2020-08-01,2020-08-31,17.95%
5,2020-09-01,2020-09-30,16.30%
5,2020-10-01,2020-10-31,18.22%
5,2020-11-01,2020-11-30,18.56%
5,2020-12-01,2020-12-31,20.05%
5,2021-01-01,2021-01-31,20.26%
6,2020-01-01,2020-01-31,21.65%
6,2020-02-01,2020-02-29,19.44%
6,2020-03-01,2020-03-31,21.35%
6,2020-04-01,2020-04-30,21.57%
6,2020-05-01,2020-05-31,20.04%
6,2020-06-01,2020-06-30,16.96%
6,2020-07-01,2020-07-31,18.16%
6,2020-08-01,2020-08-31,17.30%
6,2020-09-01,2020-09-30,15.68%
6,2020-10-01,2020-10-31,17.57%
6,2020-11-01,2020-11-30,17.84%
6,2020-12-01,2020-12-31,19.28%
6,2021-01-01,2021-01-31,19.49%
7,2020-01-01,2020-01-31,20.85%
7,2020-02-01,2020-02-29,18.80%
7,2020-03-01,2020-03-31,20.65%
7,2020-04-01,2020-04-30,20.86%
7,2020-05-01,2020-05-31,19.37%
7,2020-06-01,2020-06-30,16.40%
7,2020-07-01,2020-07-31,17.53%
7,2020-08-01,2020-08-31,16.77%
7,2020-09-01,2020-09-30,15.16%
7,2020-10-01,2020-10-31,17.02%
7,2020-11-01,2020-11-30,17.24%
7,2020-12-01,2020-12-31,18.63%
7,2021-01-01,2021-01-31,18.85%
14,2020-01-01,2020-01-31,17.47%
14,2020-02-01,2020-02-29,16.05%
14,2020-03-01,2020-03-31,17.64%
14,2020-04-01,2020-04-30,17.83%
14,2020-05-01,2020-05-31,16.53%
14,2020-06-01,2020-06-30,14.03%
14,2020-07-01,2020-07-31,14.82%
14,2020-08-01,2020-08-31,14.45%
14,2020-09-01,2020-09-30,12.93%
14,2020-10-01,2020-10-31,14.67%
14,2020-11-01,2020-11-30,14.69%
14,2020-12-01,2020-12-31,15.87%
14,2021-01-01,2021-01-31,16.09%
30,2020-01-01,2020-01-31,14.25%
30,2020-02-01,2020-02-29,13.38%
30,2020-03-01,2020-03-31,14.71%
30,2020-04-01,2020-04-30,14.87%
30,2020-05-01,2020-05-31,13.76%
30,2020-06-01,2020-06-30,11.71%
30,2020-07-01,2020-07-31,12.22%
30,2020-08-01,2020-08-31,12.18%
30,2020-09-01,2020-09-30,10.77%
30,2020-10-01,2020-10-31,12.35%
30,2020-11-01,2020-11-30,12.21%
30,2020-12-01,2020-12-31,13.18%
30,2021-01-01,2021-01-31,13.41%
