2020-01-01,2020-01-01,2020-01-31,35.19%
2020-01-02,2020-01-01,2020-01-31,29.04%
2020-01-03,2020-01-01,2020-01-31,25.34%
2020-01-04,2020-01-01,2020-01-31,23.80%
2020-01-05,2020-01-01,2020-01-31,22.61%
2020-01-06,2020-01-01,2020-01-31,21.65%
2020-01-07,2020-01-01,2020-01-31,20.85%
2020-01-14,2020-01-01,2020-01-31,17.47%
2020-01-30,2020-01-01,2020-01-31,14.25%
2020-02-01,2020-02-01,2020-02-29,31.39%
2020-02-02,2020-02-01,2020-02-29,25.75%
2020-02-03,2020-02-01,2020-02-29,22.37%
2020-02-04,2020-02-01,2020-02-29,21.15%
2020-02-05,2020-02-01,2020-02-29,20.21%
2020-02-06,2020-02-01,2020-02-29,19.44%
2020-02-07,2020-02-01,2020-02-29,18.80%
2020-02-14,2020-02-01,2020-02-29,16.05%
2020-02-27,2020-02-01,2020-02-29,13.38%
2020-03-01,2020-03-01,2020-03-31,34.76%
2020-03-02,2020-03-01,2020-03-31,28.37%
2020-03-03,2020-03-01,2020-03-31,24.57%
2020-03-04,2020-03-01,2020-03-31,23.23%
2020-03-05,2020-03-01,2020-03-31,22.19%
2020-03-06,2020-03-01,2020-03-31,21.35%
2020-03-07,2020-03-01,2020-03-31,20.65%
2020-03-14,2020-03-01,2020-03-31,17.64%
2020-03-30,2020-03-01,2020-03-31,14.71%
2020-04-01,2020-04-01,2020-04-30,36.31%
2020-04-02,2020-04-01,2020-04-30,29.05%
2020-04-03,2020-04-01,2020-04-30,24.81%
2020-04-04,2020-04-01,2020-04-30,23.46%
2020-04-05,2020-04-01,2020-04-30,22.42%
2020-04-06,2020-04-01,2020-04-30,21.57%
2020-04-07,2020-04-01,2020-04-30,20.86%
2020-04-14,2020-04-01,2020-04-30,17.83%
2020-04-30,2020-04-01,2020-04-30,14.87%
2020-05-01,2020-05-01,2020-05-31,35.59%
2020-05-02,2020-05-01,2020-05-31,27.62%
2020-05-03,2020-05-01,2020-05-31,23.08%
2020-05-04,2020-05-01,2020-05-31,21.81%
2020-05-05,2020-05-01,2020-05-31,20.83%
2020-05-06,2020-05-01,2020-05-31,20.04%
2020-05-07,2020-05-01,2020-05-31,19.37%
2020-05-14,2020-05-01,2020-05-31,16.53%
2020-05-30,2020-05-01,2020-05-31,13.76%
2020-06-01,2020-06-01,2020-06-30,31.43%
2020-06-02,2020-06-01,2020-06-30,23.76%
2020-06-03,2020-06-01,2020-06-30,19.49%
2020-06-04,2020-06-01,2020-06-30,18.44%
2020-06-05,2020-06-01,2020-06-30,17.62%
2020-06-06,2020-06-01,2020-06-30,16.96%
2020-06-07,2020-06-01,2020-06-30,16.40%
2020-06-14,2020-06-01,2020-06-30,14.03%
2020-06-30,2020-06-01,2020-06-30,11.71%
2020-07-01,2020-07-01,2020-07-31,31.56%
2020-07-02,2020-07-01,2020-07-31,24.93%
2020-07-03,2020-07-01,2020-07-31,21.08%
2020-07-04,2020-07-01,2020-07-31,19.87%
2020-07-05,2020-07-01,2020-07-31,18.92%
2020-07-06,2020-07-01,2020-07-31,18.16%
2020-07-07,2020-07-01,2020-07-31,17.53%
2020-07-14,2020-07-01,2020-07-31,14.82%
2020-07-30,2020-07-01,2020-07-31,12.22%
2020-08-01,2020-08-01,2020-08-31,28.34%
2020-08-02,2020-08-01,2020-08-31,22.94%
2020-08-03,2020-08-01,2020-08-31,19.75%
2020-08-04,2020-08-01,2020-08-31,18.74%
2020-08-05,2020-08-01,2020-08-31,17.95%
2020-08-06,2020-08-01,2020-08-31,17.30%
2020-08-07,2020-08-01,2020-08-31,16.77%
2020-08-14,2020-08-01,2020-08-31,14.45%
2020-08-30,2020-08-01,2020-08-31,12.18%
2020-09-01,2020-09-01,2020-09-30,28.28%
2020-09-02,2020-09-01,2020-09-30,21.75%
2020-09-03,2020-09-01,2020-09-30,18.06%
2020-09-04,2020-09-01,2020-09-30,17.07%
2020-09-05,2020-09-01,2020-09-30,16.30%
2020-09-06,2020-09-01,2020-09-30,15.68%
2020-09-07,2020-09-01,2020-09-30,15.16%
2020-09-14,2020-09-01,2020-09-30,12.93%
2020-09-30,2020-09-01,2020-09-30,10.77%
2020-10-01,2020-10-01,2020-10-31,29.72%
2020-10-02,2020-10-01,2020-10-31,23.61%
2020-10-03,2020-10-01,2020-10-31,20.06%
2020-10-04,2020-10-01,2020-10-31,19.03%
2020-10-05,2020-10-01,2020-10-31,18.22%
2020-10-06,2020-10-01,2020-10-31,17.57%
2020-10-07,2020-10-01,2020-10-31,17.02%
2020-10-14,2020-10-01,2020-10-31,14.67%
2020-10-30,2020-10-01,2020-10-31,12.35%
2020-11-01,2020-11-01,2020-11-30,28.66%
2020-11-02,2020-11-01,2020-11-30,23.61%
2020-11-03,2020-11-01,2020-11-30,20.58%
2020-11-04,2020-11-01,2020-11-30,19.44%
2020-11-05,2020-11-01,2020-11-30,18.56%
2020-11-06,2020-11-01,2020-11-30,17.84%
2020-11-07,2020-11-01,2020-11-30,17.24%
2020-11-14,2020-11-01,2020-11-30,14.69%
2020-11-30,2020-11-01,2020-11-30,12.21%
2020-12-01,2020-12-01,2020-12-31,33.07%
2020-12-02,2020-12-01,2020-12-31,26.22%
