Retention Days,Start Date,End Date,User Retention
0,2021-01-01,2021-01-31,100.00%
0,2021-02-01,2021-02-28,100.00%
0,2021-03-01,2021-03-31,100.00%
0,2021-04-01,2021-04-30,100.00%
0,2021-05-01,2021-05-31,100.00%
0,2021-06-01,2021-06-30,100.00%
0,2021-07-01,2021-07-31,100.00%
0,2021-08-01,2021-08-31,100.00%
0,2021-09-01,2021-09-30,100.00%
0,2021-10-01,2021-10-31,100.00%
0,2021-11-01,2021-11-30,100.00%
0,2021-12-01,2021-12-31,100.00%
0,2022-01-01,2022-01-31,100.00%
1,2021-01-01,2021-01-31,27.05%
1,2021-02-01,2021-02-28,30.57%
1,2021-03-01,2021-03-31,30.77%
1,2021-04-01,2021-04-30,33.20%
1,2021-05-01,2021-05-31,33.18%
1,2021-06-01,2021-06-30,31.28%
1,2021-07-01,2021-07-31,30.43%
1,2021-08-01,2021-08-31,30.12%
1,2021-09-01,2021-09-30,31.04%
1,2021-10-01,2021-10-31,31.51%
1,2021-11-01,2021-11-30,34.18%
1,2021-12-01,2021-12-31,36.95%
1,2022-01-01,2022-01-31,35.87%
2,2021-01-01,2021-01-31,18.93%
2,2021-02-01,2021-02-28,20.11%
2,2021-03-01,2021-03-31,21.19%
2,2021-04-01,2021-04-30,23.41%
2,2021-05-01,2021-05-31,22.81%
2,2021-06-01,2021-06-30,21.32%
2,2021-07-01,2021-07-31,20.20%
2,2021-08-01,2021-08-31,19.77%
2,2021-09-01,2021-09-30,21.35%
2,2021-10-01,2021-10-31,21.80%
2,2021-11-01,2021-11-30,23.84%
2,2021-12-01,2021-12-31,25.73%
2,2022-01-01,2022-01-31,24.97%
3,2021-01-01,2021-01-31,14.70%
3,2021-02-01,2021-02-28,14.94%
3,2021-03-01,2021-03-31,16.27%
3,2021-04-01,2021-04-30,18.27%
3,2021-05-01,2021-05-31,17.48%
3,2021-06-01,2021-06-30,16.25%
3,2021-07-01,2021-07-31,15.10%
3,2021-08-01,2021-08-31,14.67%
3,2021-09-01,2021-09-30,16.36%
3,2021-10-01,2021-10-31,16.79%
3,2021-11-01,2021-11-30,18.46%
3,2021-12-01,2021-12-31,19.90%
3,2022-01-01,2022-01-31,19.31%
4,2021-01-01,2021-01-31,13.63%
4,2021-02-01,2021-02-28,13.82%
4,2021-03-01,2021-03-31,15.05%
4,2021-04-01,2021-04-30,16.89%
4,2021-05-01,2021-05-31,15.98%
4,2021-06-01,2021-06-30,15.01%
4,2021-07-01,2021-07-31,14.10%
4,2021-08-01,2021-08-31,13.81%
4,2021-09-01,2021-09-30,15.51%
4,2021-10-01,2021-10-31,16.10%
4,2021-11-01,2021-11-30,17.48%
4,2021-12-01,2021-12-31,18.55%
4,2022-01-01,2022-01-31,18.32%
5,2021-01-01,2021-01-31,12.81%
5,2021-02-01,2021-02-28,12.97%
5,2021-03-01,2021-03-31,14.12%
5,2021-04-01,2021-04-30,15.85%
5,2021-05-01,2021-05-31,14.84%
5,2021-06-01,2021-06-30,14.06%
5,2021-07-01,2021-07-31,13.33%
5,2021-08-01,2021-08-31,13.14%
5,2021-09-01,2021-09-30,14.84%
5,2021-10-01,2021-10-31,15.55%
5,2021-11-01,2021-11-30,16.71%
5,2021-12-01,2021-12-31,17.52%
5,2022-01-01,2022-01-31,17.55%
6,2021-01-01,2021-01-31,12.15%
6,2021-02-01,2021-02-28,12.29%
6,2021-03-01,2021-03-31,13.38%
6,2021-04-01,2021-04-30,15.02%
6,2021-05-01,2021-05-31,13.95%
6,2021-06-01,2021-06-30,13.31%
6,2021-07-01,2021-07-31,12.71%
6,2021-08-01,2021-08-31,12.60%
6,2021-09-01,2021-09-30,14.30%
6,2021-10-01,2021-10-31,15.11%
6,2021-11-01,2021-11-30,16.09%
6,2021-12-01,2021-12-31,16.69%
6,2022-01-01,2022-01-31,16.92%
7,2021-01-01,2021-01-31,11.61%
7,2021-02-01,2021-02-28,11.73%
7,2021-03-01,2021-03-31,12.77%
7,2021-04-01,2021-04-30,14.33%
7,2021-05-01,2021-05-31,13.21%
7,2021-06-01,2021-06-30,12.69%
7,2021-07-01,2021-07-31,12.20%
7,2021-08-01,2021-08-31,12.15%
7,2021-09-01,2021-09-30,13.85%
7,2021-10-01,2021-10-31,14.73%
7,2021-11-01,2021-11-30,15.57%
7,2021-12-01,2021-12-31,16.01%
7,2022-01-01,2022-01-31,16.40%
14,2021-01-01,2021-01-31,9.38%
14,2021-02-01,2021-02-28,9.42%
14,2021-03-01,2021-03-31,10.26%
14,2021-04-01,2021-04-30,11.50%
14,2021-05-01,2021-05-31,10.25%
14,2021-06-01,2021-06-30,10.14%
14,2021-07-01,2021-07-31,10.06%
14,2021-08-01,2021-08-31,10.25%
14,2021-09-01,2021-09-30,11.91%
14,2021-10-01,2021-10-31,13.09%
14,2021-11-01,2021-11-30,13.35%
14,2021-12-01,2021-12-31,13.14%
14,2022-01-01,2022-01-31,14.13%
30,2021-01-01,2021-01-31,7.33%
30,2021-02-01,2021-02-28,7.31%
30,2021-03-01,2021-03-31,7.96%
30,2021-04-01,2021-04-30,8.92%
30,2021-05-01,2021-05-31,7.64%
30,2021-06-01,2021-06-30,7.83%
30,2021-07-01,2021-07-31,8.05%
30,2021-08-01,2021-08-31,8.42%
30,2021-09-01,2021-09-30,10.00%
30,2021-10-01,2021-10-31,11.42%
30,2021-11-01,2021-11-30,11.17%
30,2021-12-01,2021-12-31,10.46%
30,2022-01-01,2022-01-31,11.91%
