2020-01-01,2020-01-01,2020-01-31,26.53%
2020-01-02,2020-01-01,2020-01-31,17.47%
2020-01-03,2020-01-01,2020-01-31,12.99%
2020-01-04,2020-01-01,2020-01-31,12.04%
2020-01-05,2020-01-01,2020-01-31,11.32%
2020-01-06,2020-01-01,2020-01-31,10.74%
2020-01-07,2020-01-01,2020-01-31,10.26%
2020-01-14,2020-01-01,2020-01-31,8.29%
2020-01-30,2020-01-01,2020-01-31,6.48%
2020-02-01,2020-02-01,2020-02-29,28.80%
2020-02-02,2020-02-01,2020-02-29,20.12%
2020-02-03,2020-02-01,2020-02-29,15.60%
2020-02-04,2020-02-01,2020-02-29,14.39%
2020-02-05,2020-02-01,2020-02-29,13.47%
2020-02-06,2020-02-01,2020-02-29,12.73%
2020-02-07,2020-02-01,2020-02-29,12.13%
2020-02-14,2020-02-01,2020-02-29,9.65%
2020-02-27,2020-02-01,2020-02-29,7.41%
2020-03-01,2020-03-01,2020-03-31,28.60%
2020-03-02,2020-03-01,2020-03-31,18.81%
2020-03-03,2020-03-01,2020-03-31,13.98%
2020-03-04,2020-03-01,2020-03-31,12.86%
2020-03-05,2020-03-01,2020-03-31,12.01%
2020-03-06,2020-03-01,2020-03-31,11.34%
2020-03-07,2020-03-01,2020-03-31,10.79%
2020-03-14,2020-03-01,2020-03-31,8.53%
2020-03-30,2020-03-01,2020-03-31,6.50%
2020-04-01,2020-04-01,2020-04-30,29.89%
2020-04-02,2020-04-01,2020-04-30,20.78%
2020-04-03,2020-04-01,2020-04-30,16.06%
2020-04-04,2020-04-01,2020-04-30,14.74%
2020-04-05,2020-04-01,2020-04-30,13.75%
2020-04-06,2020-04-01,2020-04-30,12.97%
2020-04-07,2020-04-01,2020-04-30,12.32%
2020-04-14,2020-04-01,2020-04-30,9.69%
2020-04-30,2020-04-01,2020-04-30,7.34%
2020-05-01,2020-05-01,2020-05-31,27.43%
2020-05-02,2020-05-01,2020-05-31,18.26%
2020-05-03,2020-05-01,2020-05-31,13.68%
2020-05-04,2020-05-01,2020-05-31,12.56%
2020-05-05,2020-05-01,2020-05-31,11.72%
2020-05-06,2020-05-01,2020-05-31,11.05%
2020-05-07,2020-05-01,2020-05-31,10.50%
2020-05-14,2020-05-01,2020-05-31,8.26%
2020-05-30,2020-05-01,2020-05-31,6.26%
2020-06-01,2020-06-01,2020-06-30,28.76%
2020-06-02,2020-06-01,2020-06-30,19.91%
2020-06-03,2020-06-01,2020-06-30,15.34%
2020-06-04,2020-06-01,2020-06-30,14.12%
2020-06-05,2020-06-01,2020-06-30,13.20%
2020-06-06,2020-06-01,2020-06-30,12.47%
2020-06-07,2020-06-01,2020-06-30,11.87%
2020-06-14,2020-06-01,2020-06-30,9.41%
2020-06-30,2020-06-01,2020-06-30,7.20%
2020-07-01,2020-07-01,2020-07-31,28.96%
2020-07-02,2020-07-01,2020-07-31,19.05%
2020-07-03,2020-07-01,2020-07-31,14.15%
2020-07-04,2020-07-01,2020-07-31,13.08%
2020-07-05,2020-07-01,2020-07-31,12.27%
2020-07-06,2020-07-01,2020-07-31,11.63%
2020-07-07,2020-07-01,2020-07-31,11.10%
2020-07-14,2020-07-01,2020-07-31,8.90%
2020-07-30,2020-07-01,2020-07-31,6.90%
2020-08-01,2020-08-01,2020-08-31,30.49%
2020-08-02,2020-08-01,2020-08-31,20.74%
2020-08-03,2020-08-01,2020-08-31,15.77%
2020-08-04,2020-08-01,2020-08-31,14.56%
2020-08-05,2020-08-01,2020-08-31,13.64%
2020-08-06,2020-08-01,2020-08-31,12.90%
2020-08-07,2020-08-01,2020-08-31,12.30%
2020-08-14,2020-08-01,2020-08-31,9.81%
2020-08-30,2020-08-01,2020-08-31,7.56%
2020-09-01,2020-09-01,2020-09-30,29.19%
2020-09-02,2020-09-01,2020-09-30,20.35%
2020-09-03,2020-09-01,2020-09-30,15.76%
2020-09-04,2020-09-01,2020-09-30,14.54%
2020-09-05,2020-09-01,2020-09-30,13.61%
2020-09-06,2020-09-01,2020-09-30,12.87%
2020-09-07,2020-09-01,2020-09-30,12.27%
2020-09-14,2020-09-01,2020-09-30,9.77%
2020-09-30,2020-09-01,2020-09-30,7.51%
2020-10-01,2020-10-01,2020-10-31,29.68%
2020-10-02,2020-10-01,2020-10-31,20.31%
2020-10-03,2020-10-01,2020-10-31,15.51%
2020-10-04,2020-10-01,2020-10-31,14.48%
2020-10-05,2020-10-01,2020-10-31,13.68%
2020-10-06,2020-10-01,2020-10-31,13.05%
2020-10-07,2020-10-01,2020-10-31,12.52%
2020-10-14,2020-10-01,2020-10-31,10.30%
2020-10-30,2020-10-01,2020-10-31,8.23%
2020-11-01,2020-11-01,2020-11-30,29.33%
2020-11-02,2020-11-01,2020-11-30,20.23%
2020-11-03,2020-11-01,2020-11-30,15.54%
2020-11-04,2020-11-01,2020-11-30,14.40%
2020-11-05,2020-11-01,2020-11-30,13.54%
2020-11-06,2020-11-01,2020-11-30,12.84%
