Retention Days,Start Date,End Date,User Retention
0,2020-01-01,2020-01-31,100.00%
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-01-01,2020-01-31,33.15%
1,2020-02-01,2020-02-29,28.90%
1,2020-03-01,2020-03-31,29.64%
1,2020-04-01,2020-04-30,31.86%
1,2020-05-01,2020-05-31,30.74%
1,2020-06-01,2020-06-30,32.13%
1,2020-07-01,2020-07-31,31.85%
1,2020-08-01,2020-08-31,33.04%
1,2020-09-01,2020-09-30,33.72%
1,2020-10-01,2020-10-31,35.26%
1,2020-11-01,2020-11-30,42.30%
1,2020-12-01,2020-12-31,36.68%
1,2021-01-01,2021-01-31,35.92%
2,2020-01-01,2020-01-31,24.72%
2,2020-02-01,2020-02-29,22.28%
2,2020-03-01,2020-03-31,21.76%
2,2020-04-01,2020-04-30,22.54%
2,2020-05-01,2020-05-31,22.30%
2,2020-06-01,2020-06-30,22.04%
2,2020-07-01,2020-07-31,21.03%
2,2020-08-01,2020-08-31,22.54%
2,2020-09-01,2020-09-30,23.14%
2,2020-10-01,2020-10-31,24.82%
2,2020-11-01,2020-11-30,29.29%
2,2020-12-01,2020-12-31,25.52%
2,2021-01-01,2021-01-31,26.16%
3,2020-01-01,2020-01-31,20.07%
3,2020-02-01,2020-02-29,18.52%
3,2020-03-01,2020-03-31,17.48%
3,2020-04-01,2020-04-30,17.63%
3,2020-05-01,2020-05-31,17.76%
3,2020-06-01,2020-06-30,16.87%
3,2020-07-01,2020-07-31,15.66%
3,2020-08-01,2020-08-31,17.18%
3,2020-09-01,2020-09-30,17.71%
3,2020-10-01,2020-10-31,19.35%
3,2020-11-01,2020-11-30,22.56%
3,2020-12-01,2020-12-31,19.73%
3,2021-01-01,2021-01-31,20.89%
4,2020-01-01,2020-01-31,18.64%
4,2020-02-01,2020-02-29,17.50%
4,2020-03-01,2020-03-31,16.26%
4,2020-04-01,2020-04-30,16.26%
4,2020-05-01,2020-05-31,16.38%
4,2020-06-01,2020-06-30,15.59%
4,2020-07-01,2020-07-31,14.43%
4,2020-08-01,2020-08-31,15.80%
4,2020-09-01,2020-09-30,16.38%
4,2020-10-01,2020-10-31,17.82%
4,2020-11-01,2020-11-30,20.70%
4,2020-12-01,2020-12-31,18.19%
4,2021-01-01,2021-01-31,19.41%
5,2020-01-01,2020-01-31,17.55%
5,2020-02-01,2020-02-29,16.72%
5,2020-03-01,2020-03-31,15.32%
5,2020-04-01,2020-04-30,15.22%
5,2020-05-01,2020-05-31,15.33%
5,2020-06-01,2020-06-30,14.62%
5,2020-07-01,2020-07-31,13.50%
5,2020-08-01,2020-08-31,14.76%
5,2020-09-01,2020-09-30,15.37%
5,2020-10-01,2020-10-31,16.66%
5,2020-11-01,2020-11-30,19.29%
5,2020-12-01,2020-12-31,17.02%
5,2021-01-01,2021-01-31,18.27%
6,2020-01-01,2020-01-31,16.68%
6,2020-02-01,2020-02-29,16.08%
6,2020-03-01,2020-03-31,14.57%
6,2020-04-01,2020-04-30,14.39%
6,2020-05-01,2020-05-31,14.50%
6,2020-06-01,2020-06-30,13.84%
6,2020-07-01,2020-07-31,12.76%
6,2020-08-01,2020-08-31,13.93%
6,2020-09-01,2020-09-30,14.56%
6,2020-10-01,2020-10-31,15.73%
6,2020-11-01,2020-11-30,18.17%
6,2020-12-01,2020-12-31,16.09%
6,2021-01-01,2021-01-31,17.37%
7,2020-01-01,2020-01-31,15.96%
7,2020-02-01,2020-02-29,15.54%
7,2020-03-01,2020-03-31,13.96%
7,2020-04-01,2020-04-30,13.72%
7,2020-05-01,2020-05-31,13.81%
7,2020-06-01,2020-06-30,13.20%
7,2020-07-01,2020-07-31,12.15%
7,2020-08-01,2020-08-31,13.25%
7,2020-09-01,2020-09-30,13.90%
7,2020-10-01,2020-10-31,14.98%
7,2020-11-01,2020-11-30,17.25%
7,2020-12-01,2020-12-31,15.32%
7,2021-01-01,2021-01-31,16.62%
14,2020-01-01,2020-01-31,12.96%
14,2020-02-01,2020-02-29,13.26%
14,2020-03-01,2020-03-31,11.38%
14,2020-04-01,2020-04-30,10.92%
14,2020-05-01,2020-05-31,11.00%
14,2020-06-01,2020-06-30,10.57%
14,2020-07-01,2020-07-31,9.65%
14,2020-08-01,2020-08-31,10.47%
14,2020-09-01,2020-09-30,11.15%
14,2020-10-01,2020-10-31,11.87%
14,2020-11-01,2020-11-30,13.53%
14,2020-12-01,2020-12-31,12.18%
14,2021-01-01,2021-01-31,13.50%
30,2020-01-01,2020-01-31,10.19%
30,2020-02-01,2020-02-29,11.04%
30,2020-03-01,2020-03-31,8.99%
30,2020-04-01,2020-04-30,8.40%
30,2020-05-01,2020-05-31,8.45%
30,2020-06-01,2020-06-30,8.18%
30,2020-07-01,2020-07-31,7.39%
30,2020-08-01,2020-08-31,7.98%
30,2020-09-01,2020-09-30,8.65%
30,2020-10-01,2020-10-31,9.08%
30,2020-11-01,2020-11-30,10.21%
30,2020-12-01,2020-12-31,9.35%
30,2021-01-01,2021-01-31,10.63%
