Retention Days,Start Date,End Date,User Retention
0,2020-01-01,2020-01-31,100.00%
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-01-01,2020-01-31,45.41%
1,2020-02-01,2020-02-29,45.06%
1,2020-03-01,2020-03-31,44.17%
1,2020-04-01,2020-04-30,43.77%
1,2020-05-01,2020-05-31,41.69%
1,2020-06-01,2020-06-30,40.10%
1,2020-07-01,2020-07-31,44.02%
1,2020-08-01,2020-08-31,43.82%
1,2020-09-01,2020-09-30,41.95%
1,2020-10-01,2020-10-31,40.11%
1,2020-11-01,2020-11-30,35.30%
1,2020-12-01,2020-12-31,37.09%
1,2021-01-01,2021-01-31,38.07%
2,2020-01-01,2020-01-31,34.88%
2,2020-02-01,2020-02-29,34.59%
2,2020-03-01,2020-03-31,32.41%
2,2020-04-01,2020-04-30,31.00%
2,2020-05-01,2020-05-31,30.37%
2,2020-06-01,2020-06-30,28.82%
2,2020-07-01,2020-07-31,31.37%
2,2020-08-01,2020-08-31,30.49%
2,2020-09-01,2020-09-30,30.33%
2,2020-10-01,2020-10-31,31.42%
2,2020-11-01,2020-11-30,27.09%
2,2020-12-01,2020-12-31,28.07%
2,2021-01-01,2021-01-31,28.09%
3,2020-01-01,2020-01-31,28.92%
3,2020-02-01,2020-02-29,28.67%
3,2020-03-01,2020-03-31,26.01%
3,2020-04-01,2020-04-30,24.27%
3,2020-05-01,2020-05-31,24.26%
3,2020-06-01,2020-06-30,22.80%
3,2020-07-01,2020-07-31,24.67%
3,2020-08-01,2020-08-31,23.57%
3,2020-09-01,2020-09-30,24.09%
3,2020-10-01,2020-10-31,26.42%
3,2020-11-01,2020-11-30,22.46%
3,2020-12-01,2020-12-31,23.03%
3,2021-01-01,2021-01-31,22.65%
4,2020-01-01,2020-01-31,26.28%
4,2020-02-01,2020-02-29,26.17%
4,2020-03-01,2020-03-31,23.65%
4,2020-04-01,2020-04-30,22.08%
4,2020-05-01,2020-05-31,22.20%
4,2020-06-01,2020-06-30,20.70%
4,2020-07-01,2020-07-31,22.42%
4,2020-08-01,2020-08-31,21.62%
4,2020-09-01,2020-09-30,22.33%
4,2020-10-01,2020-10-31,24.73%
4,2020-11-01,2020-11-30,20.94%
4,2020-12-01,2020-12-31,21.37%
4,2021-01-01,2021-01-31,21.21%
5,2020-01-01,2020-01-31,24.30%
5,2020-02-01,2020-02-29,24.29%
5,2020-03-01,2020-03-31,21.87%
5,2020-04-01,2020-04-30,20.43%
5,2020-05-01,2020-05-31,20.65%
5,2020-06-01,2020-06-30,19.14%
5,2020-07-01,2020-07-31,20.73%
5,2020-08-01,2020-08-31,20.14%
5,2020-09-01,2020-09-30,20.99%
5,2020-10-01,2020-10-31,23.43%
5,2020-11-01,2020-11-30,19.78%
5,2020-12-01,2020-12-31,20.09%
5,2021-01-01,2021-01-31,20.11%
6,2020-01-01,2020-01-31,22.75%
6,2020-02-01,2020-02-29,22.81%
6,2020-03-01,2020-03-31,20.48%
6,2020-04-01,2020-04-30,19.14%
6,2020-05-01,2020-05-31,19.42%
6,2020-06-01,2020-06-30,17.91%
6,2020-07-01,2020-07-31,19.40%
6,2020-08-01,2020-08-31,18.98%
6,2020-09-01,2020-09-30,19.91%
6,2020-10-01,2020-10-31,22.39%
6,2020-11-01,2020-11-30,18.85%
6,2020-12-01,2020-12-31,19.08%
6,2021-01-01,2021-01-31,19.22%
7,2020-01-01,2020-01-31,21.48%
7,2020-02-01,2020-02-29,21.60%
7,2020-03-01,2020-03-31,19.34%
7,2020-04-01,2020-04-30,18.08%
7,2020-05-01,2020-05-31,18.41%
7,2020-06-01,2020-06-30,16.90%
7,2020-07-01,2020-07-31,18.32%
7,2020-08-01,2020-08-31,18.02%
7,2020-09-01,2020-09-30,19.03%
7,2020-10-01,2020-10-31,21.52%
7,2020-11-01,2020-11-30,18.08%
7,2020-12-01,2020-12-31,18.24%
7,2021-01-01,2021-01-31,18.48%
14,2020-01-01,2020-01-31,16.40%
14,2020-02-01,2020-02-29,16.70%
14,2020-03-01,2020-03-31,14.78%
14,2020-04-01,2020-04-30,13.84%
14,2020-05-01,2020-05-31,14.33%
14,2020-06-01,2020-06-30,12.89%
14,2020-07-01,2020-07-31,13.98%
14,2020-08-01,2020-08-31,14.13%
14,2020-09-01,2020-09-30,15.36%
14,2020-10-01,2020-10-31,17.87%
14,2020-11-01,2020-11-30,14.85%
14,2020-12-01,2020-12-31,14.76%
14,2021-01-01,2021-01-31,15.37%
30,2020-01-01,2020-01-31,12.01%
30,2020-02-01,2020-02-29,12.41%
30,2020-03-01,2020-03-31,10.84%
30,2020-04-01,2020-04-30,10.17%
30,2020-05-01,2020-05-31,10.74%
30,2020-06-01,2020-06-30,9.42%
30,2020-07-01,2020-07-31,10.23%
30,2020-08-01,2020-08-31,10.66%
30,2020-09-01,2020-09-30,12.00%
30,2020-10-01,2020-10-31,14.42%
30,2020-11-01,2020-11-30,11.83%
30,2020-12-01,2020-12-31,11.56%
30,2021-01-01,2021-01-31,12.42%
