2020-01-01,2020-01-01,2020-01-31,45.41%
2020-01-02,2020-01-01,2020-01-31,34.88%
2020-01-03,2020-01-01,2020-01-31,28.92%
2020-01-04,2020-01-01,2020-01-31,26.28%
2020-01-05,2020-01-01,2020-01-31,24.30%
2020-01-06,2020-01-01,2020-01-31,22.75%
2020-01-07,2020-01-01,2020-01-31,21.48%
2020-01-14,2020-01-01,2020-01-31,16.40%
2020-01-30,2020-01-01,2020-01-31,12.01%
2020-02-01,2020-02-01,2020-02-29,45.06%
2020-02-02,2020-02-01,2020-02-29,34.59%
2020-02-03,2020-02-01,2020-02-29,28.67%
2020-02-04,2020-02-01,2020-02-29,26.17%
2020-02-05,2020-02-01,2020-02-29,24.29%
2020-02-06,2020-02-01,2020-02-29,22.81%
2020-02-07,2020-02-01,2020-02-29,21.60%
2020-02-14,2020-02-01,2020-02-29,16.70%
2020-02-27,2020-02-01,2020-02-29,12.41%
2020-03-01,2020-03-01,2020-03-31,44.17%
2020-03-02,2020-03-01,2020-03-31,32.41%
2020-03-03,2020-03-01,2020-03-31,26.01%
2020-03-04,2020-03-01,2020-03-31,23.65%
2020-03-05,2020-03-01,2020-03-31,21.87%
2020-03-06,2020-03-01,2020-03-31,20.48%
2020-03-07,2020-03-01,2020-03-31,19.34%
2020-03-14,2020-03-01,2020-03-31,14.78%
2020-03-30,2020-03-01,2020-03-31,10.84%
2020-04-01,2020-04-01,2020-04-30,43.77%
2020-04-02,2020-04-01,2020-04-30,31.00%
2020-04-03,2020-04-01,2020-04-30,24.27%
2020-04-04,2020-04-01,2020-04-30,22.08%
2020-04-05,2020-04-01,2020-04-30,20.43%
2020-04-06,2020-04-01,2020-04-30,19.14%
2020-04-07,2020-04-01,2020-04-30,18.08%
2020-04-14,2020-04-01,2020-04-30,13.84%
2020-04-30,2020-04-01,2020-04-30,10.17%
2020-05-01,2020-05-01,2020-05-31,41.69%
2020-05-02,2020-05-01,2020-05-31,30.37%
2020-05-03,2020-05-01,2020-05-31,24.26%
2020-05-04,2020-05-01,2020-05-31,22.20%
2020-05-05,2020-05-01,2020-05-31,20.65%
2020-05-06,2020-05-01,2020-05-31,19.42%
2020-05-07,2020-05-01,2020-05-31,18.41%
2020-05-14,2020-05-01,2020-05-31,14.33%
2020-05-30,2020-05-01,2020-05-31,10.74%
2020-06-01,2020-06-01,2020-06-30,40.10%
2020-06-02,2020-06-01,2020-06-30,28.82%
2020-06-03,2020-06-01,2020-06-30,22.80%
2020-06-04,2020-06-01,2020-06-30,20.70%
2020-06-05,2020-06-01,2020-06-30,19.14%
2020-06-06,2020-06-01,2020-06-30,17.91%
2020-06-07,2020-06-01,2020-06-30,16.90%
2020-06-14,2020-06-01,2020-06-30,12.89%
2020-06-30,2020-06-01,2020-06-30,9.42%
2020-07-01,2020-07-01,2020-07-31,44.02%
2020-07-02,2020-07-01,2020-07-31,31.37%
2020-07-03,2020-07-01,2020-07-31,24.67%
2020-07-04,2020-07-01,2020-07-31,22.42%
2020-07-05,2020-07-01,2020-07-31,20.73%
2020-07-06,2020-07-01,2020-07-31,19.40%
2020-07-07,2020-07-01,2020-07-31,18.32%
2020-07-14,2020-07-01,2020-07-31,13.98%
2020-07-30,2020-07-01,2020-07-31,10.23%
2020-08-01,2020-08-01,2020-08-31,43.82%
2020-08-02,2020-08-01,2020-08-31,30.49%
2020-08-03,2020-08-01,2020-08-31,23.57%
2020-08-04,2020-08-01,2020-08-31,21.62%
2020-08-05,2020-08-01,2020-08-31,20.14%
2020-08-06,2020-08-01,2020-08-31,18.98%
2020-08-07,2020-08-01,2020-08-31,18.02%
2020-08-14,2020-08-01,2020-08-31,14.13%
2020-08-30,2020-08-01,2020-08-31,10.66%
2020-09-01,2020-09-01,2020-09-30,41.95%
2020-09-02,2020-09-01,2020-09-30,30.33%
2020-09-03,2020-09-01,2020-09-30,24.09%
2020-09-04,2020-09-01,2020-09-30,22.33%
2020-09-05,2020-09-01,2020-09-30,20.99%
2020-09-06,2020-09-01,2020-09-30,19.91%
2020-09-07,2020-09-01,2020-09-30,19.03%
2020-09-14,2020-09-01,2020-09-30,15.36%
2020-09-30,2020-09-01,2020-09-30,12.00%
2020-10-01,2020-10-01,2020-10-31,40.11%
2020-10-02,2020-10-01,2020-10-31,31.42%
2020-10-03,2020-10-01,2020-10-31,26.42%
2020-10-04,2020-10-01,2020-10-31,24.73%
2020-10-05,2020-10-01,2020-10-31,23.43%
2020-10-06,2020-10-01,2020-10-31,22.39%
2020-10-07,2020-10-01,2020-10-31,21.52%
2020-10-14,2020-10-01,2020-10-31,17.87%
2020-10-30,2020-10-01,2020-10-31,14.42%
2020-11-01,2020-11-01,2020-11-30,35.30%
2020-11-02,2020-11-01,2020-11-30,27.09%
2020-11-03,2020-11-01,2020-11-30,22.46%
2020-11-04,2020-11-01,2020-11-30,20.94%
