Retention Days,Start Date,End Date,User Retention
0,2020-01-01,2020-01-31,100.00%
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-01-01,2020-01-31,47.67%
1,2020-02-01,2020-02-29,40.80%
1,2020-03-01,2020-03-31,44.21%
1,2020-04-01,2020-04-30,44.38%
1,2020-05-01,2020-05-31,42.26%
1,2020-06-01,2020-06-30,44.83%
1,2020-07-01,2020-07-31,46.41%
1,2020-08-01,2020-08-31,46.90%
1,2020-09-01,2020-09-30,44.40%
1,2020-10-01,2020-10-31,47.31%
1,2020-11-01,2020-11-30,43.27%
1,2020-12-01,2020-12-31,44.28%
1,2021-01-01,2021-01-31,42.16%
2,2020-01-01,2020-01-31,35.50%
2,2020-02-01,2020-02-29,30.45%
2,2020-03-01,2020-03-31,32.20%
2,2020-04-01,2020-04-30,30.42%
2,2020-05-01,2020-05-31,30.03%
2,2020-06-01,2020-06-30,29.56%
2,2020-07-01,2020-07-31,33.27%
2,2020-08-01,2020-08-31,31.85%
2,2020-09-01,2020-09-30,30.64%
2,2020-10-01,2020-10-31,31.95%
2,2020-11-01,2020-11-30,29.85%
2,2020-12-01,2020-12-31,30.83%
2,2021-01-01,2021-01-31,29.37%
3,2020-01-01,2020-01-31,28.80%
3,2020-02-01,2020-02-29,24.74%
3,2020-03-01,2020-03-31,25.71%
3,2020-04-01,2020-04-30,23.28%
3,2020-05-01,2020-05-31,23.57%
3,2020-06-01,2020-06-30,22.00%
3,2020-07-01,2020-07-31,26.27%
3,2020-08-01,2020-08-31,24.21%
3,2020-09-01,2020-09-30,23.55%
3,2020-10-01,2020-10-31,24.18%
3,2020-11-01,2020-11-30,22.93%
3,2020-12-01,2020-12-31,23.85%
3,2021-01-01,2021-01-31,22.72%
4,2020-01-01,2020-01-31,24.04%
4,2020-02-01,2020-02-29,21.19%
4,2020-03-01,2020-03-31,22.03%
4,2020-04-01,2020-04-30,19.81%
4,2020-05-01,2020-05-31,19.95%
4,2020-06-01,2020-06-30,18.77%
4,2020-07-01,2020-07-31,22.31%
4,2020-08-01,2020-08-31,20.19%
4,2020-09-01,2020-09-30,20.09%
4,2020-10-01,2020-10-31,20.56%
4,2020-11-01,2020-11-30,19.10%
4,2020-12-01,2020-12-31,20.26%
4,2021-01-01,2021-01-31,19.23%
5,2020-01-01,2020-01-31,20.74%
5,2020-02-01,2020-02-29,18.68%
5,2020-03-01,2020-03-31,19.42%
5,2020-04-01,2020-04-30,17.36%
5,2020-05-01,2020-05-31,17.40%
5,2020-06-01,2020-06-30,16.48%
5,2020-07-01,2020-07-31,19.52%
5,2020-08-01,2020-08-31,17.41%
5,2020-09-01,2020-09-30,17.64%
5,2020-10-01,2020-10-31,18.01%
5,2020-11-01,2020-11-30,16.45%
5,2020-12-01,2020-12-31,17.73%
5,2021-01-01,2021-01-31,16.78%
6,2020-01-01,2020-01-31,18.30%
6,2020-02-01,2020-02-29,16.78%
6,2020-03-01,2020-03-31,17.45%
6,2020-04-01,2020-04-30,15.53%
6,2020-05-01,2020-05-31,15.51%
6,2020-06-01,2020-06-30,14.76%
6,2020-07-01,2020-07-31,17.44%
6,2020-08-01,2020-08-31,15.36%
6,2020-09-01,2020-09-30,15.81%
6,2020-10-01,2020-10-31,16.10%
6,2020-11-01,2020-11-30,14.50%
6,2020-12-01,2020-12-31,15.85%
6,2021-01-01,2021-01-31,14.96%
7,2020-01-01,2020-01-31,16.43%
7,2020-02-01,2020-02-29,15.30%
7,2020-03-01,2020-03-31,15.91%
7,2020-04-01,2020-04-30,14.10%
7,2020-05-01,2020-05-31,14.03%
7,2020-06-01,2020-06-30,13.42%
7,2020-07-01,2020-07-31,15.81%
7,2020-08-01,2020-08-31,13.78%
7,2020-09-01,2020-09-30,14.38%
7,2020-10-01,2020-10-31,14.61%
7,2020-11-01,2020-11-30,13.00%
7,2020-12-01,2020-12-31,14.37%
7,2021-01-01,2021-01-31,13.54%
14,2020-01-01,2020-01-31,9.87%
14,2020-02-01,2020-02-29,9.89%
14,2020-03-01,2020-03-31,10.30%
14,2020-04-01,2020-04-30,8.95%
14,2020-05-01,2020-05-31,8.77%
14,2020-06-01,2020-06-30,8.58%
14,2020-07-01,2020-07-31,9.98%
14,2020-08-01,2020-08-31,8.26%
14,2020-09-01,2020-09-30,9.19%
14,2020-10-01,2020-10-31,9.25%
14,2020-11-01,2020-11-30,7.77%
14,2020-12-01,2020-12-31,9.08%
14,2021-01-01,2021-01-31,8.46%
30,2020-01-01,2020-01-31,5.49%
30,2020-02-01,2020-02-29,5.98%
30,2020-03-01,2020-03-31,6.23%
30,2020-04-01,2020-04-30,5.29%
30,2020-05-01,2020-05-31,5.09%
30,2020-06-01,2020-06-30,5.11%
30,2020-07-01,2020-07-31,5.86%
30,2020-08-01,2020-08-31,4.58%
30,2020-09-01,2020-09-30,5.48%
30,2020-10-01,2020-10-31,5.46%
30,2020-11-01,2020-11-30,4.29%
30,2020-12-01,2020-12-31,5.34%
30,2021-01-01,2021-01-31,4.92%
