2020-01-01,2020-01-01,2020-01-31,47.67%
2020-01-02,2020-01-01,2020-01-31,35.50%
2020-01-03,2020-01-01,2020-01-31,28.80%
2020-01-04,2020-01-01,2020-01-31,24.04%
2020-01-05,2020-01-01,2020-01-31,20.74%
2020-01-06,2020-01-01,2020-01-31,18.30%
2020-01-07,2020-01-01,2020-01-31,16.43%
2020-01-14,2020-01-01,2020-01-31,9.87%
2020-01-30,2020-01-01,2020-01-31,5.49%
2020-02-01,2020-02-01,2020-02-29,40.80%
2020-02-02,2020-02-01,2020-02-29,30.45%
2020-02-03,2020-02-01,2020-02-29,24.74%
2020-02-04,2020-02-01,2020-02-29,21.19%
2020-02-05,2020-02-01,2020-02-29,18.68%
2020-02-06,2020-02-01,2020-02-29,16.78%
2020-02-07,2020-02-01,2020-02-29,15.30%
2020-02-14,2020-02-01,2020-02-29,9.89%
2020-02-27,2020-02-01,2020-02-29,5.98%
2020-03-01,2020-03-01,2020-03-31,44.21%
2020-03-02,2020-03-01,2020-03-31,32.20%
2020-03-03,2020-03-01,2020-03-31,25.71%
2020-03-04,2020-03-01,2020-03-31,22.03%
2020-03-05,2020-03-01,2020-03-31,19.42%
2020-03-06,2020-03-01,2020-03-31,17.45%
2020-03-07,2020-03-01,2020-03-31,15.91%
2020-03-14,2020-03-01,2020-03-31,10.30%
2020-03-30,2020-03-01,2020-03-31,6.23%
2020-04-01,2020-04-01,2020-04-30,44.38%
2020-04-02,2020-04-01,2020-04-30,30.42%
2020-04-03,2020-04-01,2020-04-30,23.28%
2020-04-04,2020-04-01,2020-04-30,19.81%
2020-04-05,2020-04-01,2020-04-30,17.36%
2020-04-06,2020-04-01,2020-04-30,15.53%
2020-04-07,2020-04-01,2020-04-30,14.10%
2020-04-14,2020-04-01,2020-04-30,8.95%
2020-04-30,2020-04-01,2020-04-30,5.29%
2020-05-01,2020-05-01,2020-05-31,42.26%
2020-05-02,2020-05-01,2020-05-31,30.03%
2020-05-03,2020-05-01,2020-05-31,23.57%
2020-05-04,2020-05-01,2020-05-31,19.95%
2020-05-05,2020-05-01,2020-05-31,17.40%
2020-05-06,2020-05-01,2020-05-31,15.51%
2020-05-07,2020-05-01,2020-05-31,14.03%
2020-05-14,2020-05-01,2020-05-31,8.77%
2020-05-30,2020-05-01,2020-05-31,5.09%
2020-06-01,2020-06-01,2020-06-30,44.83%
2020-06-02,2020-06-01,2020-06-30,29.56%
2020-06-03,2020-06-01,2020-06-30,22.00%
2020-06-04,2020-06-01,2020-06-30,18.77%
2020-06-05,2020-06-01,2020-06-30,16.48%
2020-06-06,2020-06-01,2020-06-30,14.76%
2020-06-07,2020-06-01,2020-06-30,13.42%
2020-06-14,2020-06-01,2020-06-30,8.58%
2020-06-30,2020-06-01,2020-06-30,5.11%
2020-07-01,2020-07-01,2020-07-31,46.41%
2020-07-02,2020-07-01,2020-07-31,33.27%
2020-07-03,2020-07-01,2020-07-31,26.27%
2020-07-04,2020-07-01,2020-07-31,22.31%
2020-07-05,2020-07-01,2020-07-31,19.52%
2020-07-06,2020-07-01,2020-07-31,17.44%
2020-07-07,2020-07-01,2020-07-31,15.81%
2020-07-14,2020-07-01,2020-07-31,9.98%
2020-07-30,2020-07-01,2020-07-31,5.86%
2020-08-01,2020-08-01,2020-08-31,46.90%
2020-08-02,2020-08-01,2020-08-31,31.85%
2020-08-03,2020-08-01,2020-08-31,24.21%
2020-08-04,2020-08-01,2020-08-31,20.19%
2020-08-05,2020-08-01,2020-08-31,17.41%
2020-08-06,2020-08-01,2020-08-31,15.36%
2020-08-07,2020-08-01,2020-08-31,13.78%
2020-08-14,2020-08-01,2020-08-31,8.26%
2020-08-30,2020-08-01,2020-08-31,4.58%
2020-09-01,2020-09-01,2020-09-30,44.40%
2020-09-02,2020-09-01,2020-09-30,30.64%
2020-09-03,2020-09-01,2020-09-30,23.55%
2020-09-04,2020-09-01,2020-09-30,20.09%
2020-09-05,2020-09-01,2020-09-30,17.64%
2020-09-06,2020-09-01,2020-09-30,15.81%
2020-09-07,2020-09-01,2020-09-30,14.38%
2020-09-14,2020-09-01,2020-09-30,9.19%
2020-09-30,2020-09-01,2020-09-30,5.48%
2020-10-01,2020-10-01,2020-10-31,47.31%
2020-10-02,2020-10-01,2020-10-31,31.95%
2020-10-03,2020-10-01,2020-10-31,24.18%
2020-10-04,2020-10-01,2020-10-31,20.56%
2020-10-05,2020-10-01,2020-10-31,18.01%
2020-10-06,2020-10-01,2020-10-31,16.10%
2020-10-07,2020-10-01,2020-10-31,14.61%
2020-10-14,2020-10-01,2020-10-31,9.25%
2020-10-30,2020-10-01,2020-10-31,5.46%
2020-11-01,2020-11-01,2020-11-30,43.27%
2020-11-02,2020-11-01,2020-11-30,29.85%
2020-11-03,2020-11-01,2020-11-30,22.93%
2020-11-04,2020-11-01,2020-11-30,19.10%
2020-11-05,2020-11-01,2020-11-30,16.45%
2020-11-06,2020-11-01,2020-11-30,14.50%
2020-11-07,2020-11-01,2020-11-30,13.00%
2020-11-14,2020-11-01,2020-11-30,7.77%
2020-11-30,2020-11-01,2020-11-30,4.29%
2020-12-01,2020-12-01,2020-12-31,44.28%
2020-12-02,2020-12-01,2020-12-31,30.83%
2020-12-03,2020-12-01,2020-12-31,23.85%
2020-12-04,2020-12-01,2020-12-31,20.26%
2020-12-05,2020-12-01,2020-12-31,17.73%
2020-12-06,2020-12-01,2020-12-31,15.85%
2020-12-07,2020-12-01,2020-12-31,14.37%
2020-12-14,2020-12-01,2020-12-31,9.08%
2020-12-30,2020-12-01,2020-12-31,5.34%
2021-01-01,2021-01-01,2021-01-31,42.16%
2021-01-02,2021-01-01,2021-01-31,29.37%
2021-01-03,2021-01-01,2021-01-31,22.72%
2021-01-04,2021-01-01,2021-01-31,19.23%
2021-01-05,2021-01-01,2021-01-31,16.78%
2021-01-06,2021-01-01,2021-01-31,14.96%
2021-01-07,2021-01-01,2021-01-31,13.54%
2021-01-14,2021-01-01,2021-01-31,8.46%
2021-01-30,2021-01-01,2021-01-31,4.92%
2021-02-01,2021-02-01,2021-02-28,40.28%
2021-02-02,2021-02-01,2021-02-28,28.79%
2021-02-03,2021-02-01,2021-02-28,22.69%
2021-02-04,2021-02-01,2021-02-28,19.44%
2021-02-05,2021-02-01,2021-02-28,17.14%
2021-02-06,2021-02-01,2021-02-28,15.40%
2021-02-07,2021-02-01,2021-02-28,14.04%
2021-02-14,2021-02-01,2021-02-28,9.09%
2021-02-27,2021-02-01,2021-02-28,5.50%
2021-03-01,2021-03-01,2021-03-31,45.01%
2021-03-02,2021-03-01,2021-03-31,31.71%
2021-03-03,2021-03-01,2021-03-31,24.73%
2021-03-04,2021-03-01,2021-03-31,21.07%
2021-03-05,2021-03-01,2021-03-31,18.48%
2021-03-06,2021-03-01,2021-03-31,16.55%
2021-03-07,2021-03-01,2021-03-31,15.04%
2021-03-14,2021-03-01,2021-03-31,9.57%
2021-03-30,2021-03-01,2021-03-31,5.69%
2021-04-01,2021-04-01,2021-04-30,45.58%
2021-04-02,2021-04-01,2021-04-30,33.32%
2021-04-03,2021-04-01,2021-04-30,26.67%
2021-04-04,2021-04-01,2021-04-30,22.35%
2021-04-05,2021-04-01,2021-04-30,19.34%
2021-04-06,2021-04-01,2021-04-30,17.12%
2021-04-07,2021-04-01,2021-04-30,15.40%
2021-04-14,2021-04-01,2021-04-30,9.36%
2021-04-30,2021-04-01,2021-04-30,5.26%
2021-05-01,2021-05-01,2021-05-31,39.16%
2021-05-02,2021-05-01,2021-05-31,27.02%
2021-05-03,2021-05-01,2021-05-31,20.76%
2021-05-04,2021-05-01,2021-05-31,17.71%
2021-05-05,2021-05-01,2021-05-31,15.55%
2021-05-06,2021-05-01,2021-05-31,13.93%
2021-05-07,2021-05-01,2021-05-31,12.67%
2021-05-14,2021-05-01,2021-05-31,8.10%
2021-05-30,2021-05-01,2021-05-31,4.83%
2021-06-01,2021-06-01,2021-06-30,37.88%
2021-06-02,2021-06-01,2021-06-30,26.09%
2021-06-03,2021-06-01,2021-06-30,20.03%
2021-06-04,2021-06-01,2021-06-30,16.99%
2021-06-05,2021-06-01,2021-06-30,14.86%
2021-06-06,2021-06-01,2021-06-30,13.26%
2021-06-07,2021-06-01,2021-06-30,12.02%
2021-06-14,2021-06-01,2021-06-30,7.57%
2021-06-30,2021-06-01,2021-06-30,4.43%
2021-07-01,2021-07-01,2021-07-31,35.89%
2021-07-02,2021-07-01,2021-07-31,25.29%
2021-07-03,2021-07-01,2021-07-31,19.73%
2021-07-04,2021-07-01,2021-07-31,16.82%
2021-07-05,2021-07-01,2021-07-31,14.76%
2021-07-06,2021-07-01,2021-07-31,13.22%
2021-07-07,2021-07-01,2021-07-31,12.02%
2021-07-14,2021-07-01,2021-07-31,7.67%
2021-07-30,2021-07-01,2021-07-31,4.56%
2021-08-01,2021-08-01,2021-08-31,35.39%
2021-08-02,2021-08-01,2021-08-31,24.62%
2021-08-03,2021-08-01,2021-08-31,19.03%
2021-08-04,2021-08-01,2021-08-31,16.20%
2021-08-05,2021-08-01,2021-08-31,14.21%
2021-08-06,2021-08-01,2021-08-31,12.72%
2021-08-07,2021-08-01,2021-08-31,11.55%
2021-08-14,2021-08-01,2021-08-31,7.34%
2021-08-30,2021-08-01,2021-08-31,4.35%
2021-09-01,2021-09-01,2021-09-30,37.59%
2021-09-02,2021-09-01,2021-09-30,26.18%
2021-09-03,2021-09-01,2021-09-30,20.25%
2021-09-04,2021-09-01,2021-09-30,16.44%
2021-09-05,2021-09-01,2021-09-30,13.86%
2021-09-06,2021-09-01,2021-09-30,12.00%
2021-09-07,2021-09-01,2021-09-30,10.59%
2021-09-14,2021-09-01,2021-09-30,5.88%
2021-09-30,2021-09-01,2021-09-30,2.98%
2021-10-01,2021-10-01,2021-10-31,39.92%
2021-10-02,2021-10-01,2021-10-31,28.19%
2021-10-03,2021-10-01,2021-10-31,22.02%
2021-10-04,2021-10-01,2021-10-31,17.18%
2021-10-05,2021-10-01,2021-10-31,14.03%
2021-10-06,2021-10-01,2021-10-31,11.82%
2021-10-07,2021-10-01,2021-10-31,10.19%
2021-10-14,2021-10-01,2021-10-31,5.06%
2021-10-30,2021-10-01,2021-10-31,2.26%
2021-11-01,2021-11-01,2021-11-30,42.06%
2021-11-02,2021-11-01,2021-11-30,29.47%
2021-11-03,2021-11-01,2021-11-30,22.90%
2021-11-04,2021-11-01,2021-11-30,18.78%
2021-11-05,2021-11-01,2021-11-30,15.97%
2021-11-06,2021-11-01,2021-11-30,13.92%
2021-11-07,2021-11-01,2021-11-30,12.37%
2021-11-14,2021-11-01,2021-11-30,7.07%
2021-11-30,2021-11-01,2021-11-30,3.71%
2021-12-01,2021-12-01,2021-12-31,42.36%
2021-12-02,2021-12-01,2021-12-31,30.48%
2021-12-03,2021-12-01,2021-12-31,24.13%
2021-12-04,2021-12-01,2021-12-31,20.02%
2021-12-05,2021-12-01,2021-12-31,17.19%
2021-12-06,2021-12-01,2021-12-31,15.11%
2021-12-07,2021-12-01,2021-12-31,13.51%
2021-12-14,2021-12-01,2021-12-31,7.99%
2021-12-30,2021-12-01,2021-12-31,4.35%
