Retention Days,Start Date,End Date,User Retention
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-11-01,2020-11-30,41.94%
1,2020-12-01,2020-12-31,40.92%
1,2021-01-01,2021-01-31,38.93%
2,2020-11-01,2020-11-30,29.63%
2,2020-12-01,2020-12-31,28.96%
2,2021-01-01,2021-01-31,27.25%
3,2020-11-01,2020-11-30,23.16%
3,2020-12-01,2020-12-31,22.66%
3,2021-01-01,2021-01-31,21.16%
4,2020-11-01,2020-11-30,19.27%
4,2020-12-01,2020-12-31,19.69%
4,2021-01-01,2021-01-31,18.71%
5,2020-11-01,2020-11-30,16.58%
5,2020-12-01,2020-12-31,17.56%
5,2021-01-01,2021-01-31,16.92%
6,2020-11-01,2020-11-30,14.60%
6,2020-12-01,2020-12-31,15.94%
6,2021-01-01,2021-01-31,15.55%
7,2020-11-01,2020-11-30,13.08%
7,2020-12-01,2020-12-31,14.65%
7,2021-01-01,2021-01-31,14.44%
14,2020-11-01,2020-11-30,7.79%
14,2020-12-01,2020-12-31,9.87%
14,2021-01-01,2021-01-31,10.22%
30,2020-11-01,2020-11-30,4.28%
30,2020-12-01,2020-12-31,6.25%
30,2021-01-01,2021-01-31,6.85%
