2020-11-01,2020-11-01,2020-11-30,41.94%
2020-11-02,2020-11-01,2020-11-30,29.63%
2020-11-03,2020-11-01,2020-11-30,23.16%
2020-11-04,2020-11-01,2020-11-30,19.27%
2020-11-05,2020-11-01,2020-11-30,16.58%
2020-11-06,2020-11-01,2020-11-30,14.60%
2020-11-07,2020-11-01,2020-11-30,13.08%
2020-11-14,2020-11-01,2020-11-30,7.79%
2020-11-30,2020-11-01,2020-11-30,4.28%
2020-12-01,2020-12-01,2020-12-31,40.92%
2020-12-02,2020-12-01,2020-12-31,28.96%
2020-12-03,2020-12-01,2020-12-31,22.66%
2020-12-04,2020-12-01,2020-12-31,19.69%
2020-12-05,2020-12-01,2020-12-31,17.56%
2020-12-06,2020-12-01,2020-12-31,15.94%
2020-12-07,2020-12-01,2020-12-31,14.65%
2020-12-14,2020-12-01,2020-12-31,9.87%
2020-12-30,2020-12-01,2020-12-31,6.25%
2021-01-01,2021-01-01,2021-01-31,38.93%
2021-01-02,2021-01-01,2021-01-31,27.25%
2021-01-03,2021-01-01,2021-01-31,21.16%
2021-01-04,2021-01-01,2021-01-31,18.71%
2021-01-05,2021-01-01,2021-01-31,16.92%
2021-01-06,2021-01-01,2021-01-31,15.55%
2021-01-07,2021-01-01,2021-01-31,14.44%
2021-01-14,2021-01-01,2021-01-31,10.22%
2021-01-30,2021-01-01,2021-01-31,6.85%
2021-02-01,2021-02-01,2021-02-28,35.04%
2021-02-02,2021-02-01,2021-02-28,22.64%
2021-02-03,2021-02-01,2021-02-28,16.61%
2021-02-04,2021-02-01,2021-02-28,14.96%
2021-02-05,2021-02-01,2021-02-28,13.74%
2021-02-06,2021-02-01,2021-02-28,12.79%
2021-02-07,2021-02-01,2021-02-28,12.01%
2021-02-14,2021-02-01,2021-02-28,8.96%
2021-02-27,2021-02-01,2021-02-28,6.38%
2021-03-01,2021-03-01,2021-03-31,36.42%
2021-03-02,2021-03-01,2021-03-31,23.70%
2021-03-03,2021-03-01,2021-03-31,17.48%
2021-03-04,2021-03-01,2021-03-31,15.70%
2021-03-05,2021-03-01,2021-03-31,14.38%
2021-03-06,2021-03-01,2021-03-31,13.35%
2021-03-07,2021-03-01,2021-03-31,12.52%
2021-03-14,2021-03-01,2021-03-31,9.25%
