Retention Days,Start Date,End Date,User Retention
0,2020-01-01,2020-01-31,100.00%
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-01-01,2020-01-31,50.18%
1,2020-02-01,2020-02-29,49.96%
1,2020-03-01,2020-03-31,46.02%
1,2020-04-01,2020-04-30,40.46%
1,2020-05-01,2020-05-31,42.72%
1,2020-06-01,2020-06-30,42.76%
1,2020-07-01,2020-07-31,51.49%
1,2020-08-01,2020-08-31,53.36%
1,2020-09-01,2020-09-30,49.19%
1,2020-10-01,2020-10-31,45.28%
1,2020-11-01,2020-11-30,40.35%
1,2020-12-01,2020-12-31,40.65%
1,2021-01-01,2021-01-31,38.39%
2,2020-01-01,2020-01-31,38.91%
2,2020-02-01,2020-02-29,38.42%
2,2020-03-01,2020-03-31,35.24%
2,2020-04-01,2020-04-30,29.59%
2,2020-05-01,2020-05-31,31.58%
2,2020-06-01,2020-06-30,32.06%
2,2020-07-01,2020-07-31,41.62%
2,2020-08-01,2020-08-31,42.91%
2,2020-09-01,2020-09-30,38.83%
2,2020-10-01,2020-10-31,35.09%
2,2020-11-01,2020-11-30,30.69%
2,2020-12-01,2020-12-31,30.96%
2,2021-01-01,2021-01-31,28.51%
3,2020-01-01,2020-01-31,32.49%
3,2020-02-01,2020-02-29,31.89%
3,2020-03-01,2020-03-31,29.15%
3,2020-04-01,2020-04-30,23.70%
3,2020-05-01,2020-05-31,25.48%
3,2020-06-01,2020-06-30,26.14%
3,2020-07-01,2020-07-31,35.79%
3,2020-08-01,2020-08-31,36.76%
3,2020-09-01,2020-09-30,32.83%
3,2020-10-01,2020-10-31,29.29%
3,2020-11-01,2020-11-30,25.27%
3,2020-12-01,2020-12-31,25.52%
3,2021-01-01,2021-01-31,23.09%
4,2020-01-01,2020-01-31,27.73%
4,2020-02-01,2020-02-29,27.16%
4,2020-03-01,2020-03-31,24.88%
4,2020-04-01,2020-04-30,20.60%
4,2020-05-01,2020-05-31,21.80%
4,2020-06-01,2020-06-30,22.82%
4,2020-07-01,2020-07-31,32.19%
4,2020-08-01,2020-08-31,32.71%
4,2020-09-01,2020-09-30,28.98%
4,2020-10-01,2020-10-31,25.33%
4,2020-11-01,2020-11-30,22.24%
4,2020-12-01,2020-12-31,22.14%
4,2021-01-01,2021-01-31,20.37%
5,2020-01-01,2020-01-31,24.37%
5,2020-02-01,2020-02-29,23.82%
5,2020-03-01,2020-03-31,21.86%
5,2020-04-01,2020-04-30,18.37%
5,2020-05-01,2020-05-31,19.19%
5,2020-06-01,2020-06-30,20.42%
5,2020-07-01,2020-07-31,29.52%
5,2020-08-01,2020-08-31,29.73%
5,2020-09-01,2020-09-30,26.17%
5,2020-10-01,2020-10-31,22.50%
5,2020-11-01,2020-11-30,20.03%
5,2020-12-01,2020-12-31,19.72%
5,2021-01-01,2021-01-31,18.38%
6,2020-01-01,2020-01-31,21.85%
6,2020-02-01,2020-02-29,21.32%
6,2020-03-01,2020-03-31,19.60%
6,2020-04-01,2020-04-30,16.68%
6,2020-05-01,2020-05-31,17.22%
6,2020-06-01,2020-06-30,18.59%
6,2020-07-01,2020-07-31,27.43%
6,2020-08-01,2020-08-31,27.42%
6,2020-09-01,2020-09-30,24.01%
6,2020-10-01,2020-10-31,20.35%
6,2020-11-01,2020-11-30,18.34%
6,2020-12-01,2020-12-31,17.88%
6,2021-01-01,2021-01-31,16.86%
7,2020-01-01,2020-01-31,19.87%
7,2020-02-01,2020-02-29,19.37%
7,2020-03-01,2020-03-31,17.82%
7,2020-04-01,2020-04-30,15.34%
7,2020-05-01,2020-05-31,15.69%
7,2020-06-01,2020-06-30,17.14%
7,2020-07-01,2020-07-31,25.75%
7,2020-08-01,2020-08-31,25.57%
7,2020-09-01,2020-09-30,22.28%
7,2020-10-01,2020-10-31,18.66%
7,2020-11-01,2020-11-30,16.99%
7,2020-12-01,2020-12-31,16.43%
7,2021-01-01,2021-01-31,15.64%
14,2020-01-01,2020-01-31,12.73%
14,2020-02-01,2020-02-29,12.32%
14,2020-03-01,2020-03-31,11.41%
14,2020-04-01,2020-04-30,10.34%
14,2020-05-01,2020-05-31,10.10%
14,2020-06-01,2020-06-30,11.69%
14,2020-07-01,2020-07-31,19.10%
14,2020-08-01,2020-08-31,18.39%
14,2020-09-01,2020-09-30,15.67%
14,2020-10-01,2020-10-31,12.40%
14,2020-11-01,2020-11-30,11.85%
14,2020-12-01,2020-12-31,11.02%
14,2021-01-01,2021-01-31,10.99%
30,2020-01-01,2020-01-31,7.61%
30,2020-02-01,2020-02-29,7.31%
30,2020-03-01,2020-03-31,6.81%
30,2020-04-01,2020-04-30,6.55%
30,2020-05-01,2020-05-31,6.08%
30,2020-06-01,2020-06-30,7.51%
30,2020-07-01,2020-07-31,13.53%
30,2020-08-01,2020-08-31,12.57%
30,2020-09-01,2020-09-30,10.44%
30,2020-10-01,2020-10-31,7.73%
30,2020-11-01,2020-11-30,7.82%
30,2020-12-01,2020-12-31,6.94%
30,2021-01-01,2021-01-31,7.31%
