Retention Days,Start Date,End Date,User Retention
0,2021-01-01,2021-01-31,100.00%
0,2021-02-01,2021-02-28,100.00%
0,2021-03-01,2021-03-31,100.00%
0,2021-04-01,2021-04-30,100.00%
0,2021-05-01,2021-05-31,100.00%
0,2021-06-01,2021-06-30,100.00%
0,2021-07-01,2021-07-31,100.00%
0,2021-08-01,2021-08-31,100.00%
0,2021-09-01,2021-09-30,100.00%
0,2021-10-01,2021-10-31,100.00%
0,2021-11-01,2021-11-30,100.00%
0,2021-12-01,2021-12-31,100.00%
0,2022-01-01,2022-01-31,100.00%
1,2021-01-01,2021-01-31,38.39%
1,2021-02-01,2021-02-28,36.09%
1,2021-03-01,2021-03-31,38.02%
1,2021-04-01,2021-04-30,37.00%
1,2021-05-01,2021-05-31,34.12%
1,2021-06-01,2021-06-30,34.77%
1,2021-07-01,2021-07-31,34.25%
1,2021-08-01,2021-08-31,32.79%
1,2021-09-01,2021-09-30,33.76%
1,2021-10-01,2021-10-31,33.99%
1,2021-11-01,2021-11-30,33.94%
1,2021-12-01,2021-12-31,34.85%
1,2022-01-01,2022-01-31,34.60%
2,2021-01-01,2021-01-31,28.51%
2,2021-02-01,2021-02-28,26.74%
2,2021-03-01,2021-03-31,27.88%
2,2021-04-01,2021-04-30,27.52%
2,2021-05-01,2021-05-31,24.90%
2,2021-06-01,2021-06-30,25.20%
2,2021-07-01,2021-07-31,23.27%
2,2021-08-01,2021-08-31,23.33%
2,2021-09-01,2021-09-30,24.38%
2,2021-10-01,2021-10-31,24.26%
2,2021-11-01,2021-11-30,24.55%
2,2021-12-01,2021-12-31,25.23%
2,2022-01-01,2022-01-31,25.12%
3,2021-01-01,2021-01-31,23.09%
3,2021-02-01,2021-02-28,21.61%
3,2021-03-01,2021-03-31,22.37%
3,2021-04-01,2021-04-30,22.30%
3,2021-05-01,2021-05-31,19.92%
3,2021-06-01,2021-06-30,20.05%
3,2021-07-01,2021-07-31,17.69%
3,2021-08-01,2021-08-31,18.33%
3,2021-09-01,2021-09-30,19.36%
3,2021-10-01,2021-10-31,19.10%
3,2021-11-01,2021-11-30,19.51%
3,2021-12-01,2021-12-31,20.06%
3,2022-01-01,2022-01-31,20.02%
4,2021-01-01,2021-01-31,20.37%
4,2021-02-01,2021-02-28,19.13%
4,2021-03-01,2021-03-31,19.36%
4,2021-04-01,2021-04-30,19.44%
4,2021-05-01,2021-05-31,17.49%
4,2021-06-01,2021-06-30,17.83%
4,2021-07-01,2021-07-31,15.37%
4,2021-08-01,2021-08-31,16.40%
4,2021-09-01,2021-09-30,17.44%
4,2021-10-01,2021-10-31,17.07%
4,2021-11-01,2021-11-30,17.47%
4,2021-12-01,2021-12-31,17.74%
4,2022-01-01,2022-01-31,17.51%
5,2021-01-01,2021-01-31,18.38%
5,2021-02-01,2021-02-28,17.31%
5,2021-03-01,2021-03-31,17.20%
5,2021-04-01,2021-04-30,17.38%
5,2021-05-01,2021-05-31,15.73%
5,2021-06-01,2021-06-30,16.20%
5,2021-07-01,2021-07-31,13.70%
5,2021-08-01,2021-08-31,14.98%
5,2021-09-01,2021-09-30,16.02%
5,2021-10-01,2021-10-31,15.57%
5,2021-11-01,2021-11-30,15.96%
5,2021-12-01,2021-12-31,16.05%
5,2022-01-01,2022-01-31,15.69%
6,2021-01-01,2021-01-31,16.86%
6,2021-02-01,2021-02-28,15.91%
6,2021-03-01,2021-03-31,15.56%
6,2021-04-01,2021-04-30,15.81%
6,2021-05-01,2021-05-31,14.38%
6,2021-06-01,2021-06-30,14.93%
6,2021-07-01,2021-07-31,12.43%
6,2021-08-01,2021-08-31,13.88%
6,2021-09-01,2021-09-30,14.90%
6,2021-10-01,2021-10-31,14.40%
6,2021-11-01,2021-11-30,14.79%
6,2021-12-01,2021-12-31,14.75%
6,2022-01-01,2022-01-31,14.30%
7,2021-01-01,2021-01-31,15.64%
7,2021-02-01,2021-02-28,14.79%
7,2021-03-01,2021-03-31,14.27%
7,2021-04-01,2021-04-30,14.57%
7,2021-05-01,2021-05-31,13.31%
7,2021-06-01,2021-06-30,13.92%
7,2021-07-01,2021-07-31,11.42%
7,2021-08-01,2021-08-31,12.99%
7,2021-09-01,2021-09-30,14.00%
7,2021-10-01,2021-10-31,13.47%
7,2021-11-01,2021-11-30,13.84%
7,2021-12-01,2021-12-31,13.71%
7,2022-01-01,2022-01-31,13.20%
14,2021-01-01,2021-01-31,10.99%
14,2021-02-01,2021-02-28,10.49%
14,2021-03-01,2021-03-31,9.49%
14,2021-04-01,2021-04-30,9.90%
14,2021-05-01,2021-05-31,9.23%
14,2021-06-01,2021-06-30,10.00%
14,2021-07-01,2021-07-31,7.68%
14,2021-08-01,2021-08-31,9.51%
14,2021-09-01,2021-09-30,10.44%
14,2021-10-01,2021-10-31,9.81%
14,2021-11-01,2021-11-30,10.14%
14,2021-12-01,2021-12-31,9.71%
14,2022-01-01,2022-01-31,9.04%
30,2021-01-01,2021-01-31,7.31%
30,2021-02-01,2021-02-28,7.05%
30,2021-03-01,2021-03-31,5.93%
30,2021-04-01,2021-04-30,6.33%
30,2021-05-01,2021-05-31,6.05%
30,2021-06-01,2021-06-30,6.82%
30,2021-07-01,2021-07-31,4.86%
30,2021-08-01,2021-08-31,6.63%
30,2021-09-01,2021-09-30,7.44%
30,2021-10-01,2021-10-31,6.80%
30,2021-11-01,2021-11-30,7.07%
30,2021-12-01,2021-12-31,6.52%
30,2022-01-01,2022-01-31,5.85%
