2020-01-01,2020-01-01,2020-01-31,50.18%
2020-01-02,2020-01-01,2020-01-31,38.91%
2020-01-03,2020-01-01,2020-01-31,32.49%
2020-01-04,2020-01-01,2020-01-31,27.73%
2020-01-05,2020-01-01,2020-01-31,24.37%
2020-01-06,2020-01-01,2020-01-31,21.85%
2020-01-07,2020-01-01,2020-01-31,19.87%
2020-01-14,2020-01-01,2020-01-31,12.73%
2020-01-30,2020-01-01,2020-01-31,7.61%
2020-02-01,2020-02-01,2020-02-29,49.96%
2020-02-02,2020-02-01,2020-02-29,38.42%
2020-02-03,2020-02-01,2020-02-29,31.89%
2020-02-04,2020-02-01,2020-02-29,27.16%
2020-02-05,2020-02-01,2020-02-29,23.82%
2020-02-06,2020-02-01,2020-02-29,21.32%
2020-02-07,2020-02-01,2020-02-29,19.37%
2020-02-14,2020-02-01,2020-02-29,12.32%
2020-02-27,2020-02-01,2020-02-29,7.31%
2020-03-01,2020-03-01,2020-03-31,46.02%
2020-03-02,2020-03-01,2020-03-31,35.24%
2020-03-03,2020-03-01,2020-03-31,29.15%
2020-03-04,2020-03-01,2020-03-31,24.88%
2020-03-05,2020-03-01,2020-03-31,21.86%
2020-03-06,2020-03-01,2020-03-31,19.60%
2020-03-07,2020-03-01,2020-03-31,17.82%
2020-03-14,2020-03-01,2020-03-31,11.41%
2020-03-30,2020-03-01,2020-03-31,6.81%
2020-04-01,2020-04-01,2020-04-30,40.46%
2020-04-02,2020-04-01,2020-04-30,29.59%
2020-04-03,2020-04-01,2020-04-30,23.70%
2020-04-04,2020-04-01,2020-04-30,20.60%
2020-04-05,2020-04-01,2020-04-30,18.37%
2020-04-06,2020-04-01,2020-04-30,16.68%
2020-04-07,2020-04-01,2020-04-30,15.34%
2020-04-14,2020-04-01,2020-04-30,10.34%
2020-04-30,2020-04-01,2020-04-30,6.55%
2020-05-01,2020-05-01,2020-05-31,42.72%
2020-05-02,2020-05-01,2020-05-31,31.58%
2020-05-03,2020-05-01,2020-05-31,25.48%
2020-05-04,2020-05-01,2020-05-31,21.80%
2020-05-05,2020-05-01,2020-05-31,19.19%
2020-05-06,2020-05-01,2020-05-31,17.22%
2020-05-07,2020-05-01,2020-05-31,15.69%
