Retention Days,Start Date,End Date,User Retention
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-02-01,2020-02-29,29.43%
1,2020-03-01,2020-03-31,41.65%
1,2020-04-01,2020-04-30,45.10%
1,2020-05-01,2020-05-31,39.23%
1,2020-06-01,2020-06-30,43.35%
1,2020-07-01,2020-07-31,33.03%
1,2020-08-01,2020-08-31,30.25%
1,2020-09-01,2020-09-30,33.44%
1,2020-10-01,2020-10-31,27.35%
1,2020-11-01,2020-11-30,35.19%
1,2020-12-01,2020-12-31,34.28%
1,2021-01-01,2021-01-31,35.11%
2,2020-02-01,2020-02-29,19.40%
2,2020-03-01,2020-03-31,29.11%
2,2020-04-01,2020-04-30,33.64%
2,2020-05-01,2020-05-31,27.14%
2,2020-06-01,2020-06-30,31.27%
2,2020-07-01,2020-07-31,22.93%
2,2020-08-01,2020-08-31,22.28%
2,2020-09-01,2020-09-30,22.93%
2,2020-10-01,2020-10-31,17.76%
2,2020-11-01,2020-11-30,24.83%
2,2020-12-01,2020-12-31,23.01%
2,2021-01-01,2021-01-31,23.71%
3,2020-02-01,2020-02-29,14.44%
3,2020-03-01,2020-03-31,22.58%
3,2020-04-01,2020-04-30,27.32%
3,2020-05-01,2020-05-31,20.89%
3,2020-06-01,2020-06-30,24.80%
3,2020-07-01,2020-07-31,17.69%
3,2020-08-01,2020-08-31,17.93%
3,2020-09-01,2020-09-30,17.54%
3,2020-10-01,2020-10-31,13.08%
3,2020-11-01,2020-11-30,19.39%
3,2020-12-01,2020-12-31,17.33%
3,2021-01-01,2021-01-31,17.95%
4,2020-02-01,2020-02-29,12.55%
4,2020-03-01,2020-03-31,19.39%
4,2020-04-01,2020-04-30,23.03%
4,2020-05-01,2020-05-31,17.77%
4,2020-06-01,2020-06-30,21.22%
4,2020-07-01,2020-07-31,15.91%
4,2020-08-01,2020-08-31,16.44%
4,2020-09-01,2020-09-30,15.85%
4,2020-10-01,2020-10-31,11.98%
4,2020-11-01,2020-11-30,16.88%
4,2020-12-01,2020-12-31,15.19%
4,2021-01-01,2021-01-31,15.66%
5,2020-02-01,2020-02-29,11.20%
5,2020-03-01,2020-03-31,17.12%
5,2020-04-01,2020-04-30,20.03%
5,2020-05-01,2020-05-31,15.56%
5,2020-06-01,2020-06-30,18.68%
5,2020-07-01,2020-07-31,14.59%
5,2020-08-01,2020-08-31,15.31%
5,2020-09-01,2020-09-30,14.59%
5,2020-10-01,2020-10-31,11.16%
5,2020-11-01,2020-11-30,15.07%
5,2020-12-01,2020-12-31,13.64%
5,2021-01-01,2021-01-31,14.00%
6,2020-02-01,2020-02-29,10.17%
6,2020-03-01,2020-03-31,15.41%
6,2020-04-01,2020-04-30,17.80%
6,2020-05-01,2020-05-31,13.91%
6,2020-06-01,2020-06-30,16.77%
6,2020-07-01,2020-07-31,13.56%
6,2020-08-01,2020-08-31,14.42%
6,2020-09-01,2020-09-30,13.60%
6,2020-10-01,2020-10-31,10.50%
6,2020-11-01,2020-11-30,13.70%
6,2020-12-01,2020-12-31,12.46%
6,2021-01-01,2021-01-31,12.74%
7,2020-02-01,2020-02-29,9.36%
7,2020-03-01,2020-03-31,14.06%
7,2020-04-01,2020-04-30,16.07%
7,2020-05-01,2020-05-31,12.63%
7,2020-06-01,2020-06-30,15.27%
7,2020-07-01,2020-07-31,12.73%
7,2020-08-01,2020-08-31,13.69%
7,2020-09-01,2020-09-30,12.80%
7,2020-10-01,2020-10-31,9.97%
7,2020-11-01,2020-11-30,12.61%
7,2020-12-01,2020-12-31,11.51%
7,2021-01-01,2021-01-31,11.74%
14,2020-02-01,2020-02-29,6.31%
14,2020-03-01,2020-03-31,9.16%
14,2020-04-01,2020-04-30,9.93%
14,2020-05-01,2020-05-31,8.00%
14,2020-06-01,2020-06-30,9.84%
14,2020-07-01,2020-07-31,9.44%
14,2020-08-01,2020-08-31,10.72%
14,2020-09-01,2020-09-30,9.61%
14,2020-10-01,2020-10-31,7.79%
14,2020-11-01,2020-11-30,8.53%
14,2020-12-01,2020-12-31,7.94%
14,2021-01-01,2021-01-31,7.99%
30,2020-02-01,2020-02-29,4.01%
30,2020-03-01,2020-03-31,5.58%
30,2020-04-01,2020-04-30,5.70%
30,2020-05-01,2020-05-31,4.72%
30,2020-06-01,2020-06-30,5.92%
30,2020-07-01,2020-07-31,6.69%
30,2020-08-01,2020-08-31,8.08%
30,2020-09-01,2020-09-30,6.91%
30,2020-10-01,2020-10-31,5.86%
30,2020-11-01,2020-11-30,5.44%
30,2020-12-01,2020-12-31,5.17%
30,2021-01-01,2021-01-31,5.12%
