2020-02-01,2020-02-01,2020-02-29,29.43%
2020-02-02,2020-02-01,2020-02-29,19.40%
2020-02-03,2020-02-01,2020-02-29,14.44%
2020-02-04,2020-02-01,2020-02-29,12.55%
2020-02-05,2020-02-01,2020-02-29,11.20%
2020-02-06,2020-02-01,2020-02-29,10.17%
2020-02-07,2020-02-01,2020-02-29,9.36%
2020-02-14,2020-02-01,2020-02-29,6.31%
2020-02-27,2020-02-01,2020-02-29,4.01%
2020-03-01,2020-03-01,2020-03-31,41.65%
2020-03-02,2020-03-01,2020-03-31,29.11%
2020-03-03,2020-03-01,2020-03-31,22.58%
2020-03-04,2020-03-01,2020-03-31,19.39%
2020-03-05,2020-03-01,2020-03-31,17.12%
2020-03-06,2020-03-01,2020-03-31,15.41%
2020-03-07,2020-03-01,2020-03-31,14.06%
2020-03-14,2020-03-01,2020-03-31,9.16%
2020-03-30,2020-03-01,2020-03-31,5.58%
2020-04-01,2020-04-01,2020-04-30,45.10%
2020-04-02,2020-04-01,2020-04-30,33.64%
2020-04-03,2020-04-01,2020-04-30,27.32%
2020-04-04,2020-04-01,2020-04-30,23.03%
2020-04-05,2020-04-01,2020-04-30,20.03%
2020-04-06,2020-04-01,2020-04-30,17.80%
2020-04-07,2020-04-01,2020-04-30,16.07%
2020-04-14,2020-04-01,2020-04-30,9.93%
2020-04-30,2020-04-01,2020-04-30,5.70%
2020-05-01,2020-05-01,2020-05-31,39.23%
2020-05-02,2020-05-01,2020-05-31,27.14%
2020-05-03,2020-05-01,2020-05-31,20.89%
2020-05-04,2020-05-01,2020-05-31,17.77%
2020-05-05,2020-05-01,2020-05-31,15.56%
2020-05-06,2020-05-01,2020-05-31,13.91%
2020-05-07,2020-05-01,2020-05-31,12.63%
2020-05-14,2020-05-01,2020-05-31,8.00%
2020-05-30,2020-05-01,2020-05-31,4.72%
2020-06-01,2020-06-01,2020-06-30,43.35%
2020-06-02,2020-06-01,2020-06-30,31.27%
2020-06-03,2020-06-01,2020-06-30,24.80%
2020-06-04,2020-06-01,2020-06-30,21.22%
2020-06-05,2020-06-01,2020-06-30,18.68%
2020-06-06,2020-06-01,2020-06-30,16.77%
2020-06-07,2020-06-01,2020-06-30,15.27%
2020-06-14,2020-06-01,2020-06-30,9.84%
2020-06-30,2020-06-01,2020-06-30,5.92%
2020-07-01,2020-07-01,2020-07-31,33.03%
2020-07-02,2020-07-01,2020-07-31,22.93%
2020-07-03,2020-07-01,2020-07-31,17.69%
2020-07-04,2020-07-01,2020-07-31,15.91%
2020-07-05,2020-07-01,2020-07-31,14.59%
2020-07-06,2020-07-01,2020-07-31,13.56%
2020-07-07,2020-07-01,2020-07-31,12.73%
2020-07-14,2020-07-01,2020-07-31,9.44%
2020-07-30,2020-07-01,2020-07-31,6.69%
2020-08-01,2020-08-01,2020-08-31,30.25%
2020-08-02,2020-08-01,2020-08-31,22.28%
2020-08-03,2020-08-01,2020-08-31,17.93%
2020-08-04,2020-08-01,2020-08-31,16.44%
2020-08-05,2020-08-01,2020-08-31,15.31%
2020-08-06,2020-08-01,2020-08-31,14.42%
2020-08-07,2020-08-01,2020-08-31,13.69%
2020-08-14,2020-08-01,2020-08-31,10.72%
2020-08-30,2020-08-01,2020-08-31,8.08%
2020-09-01,2020-09-01,2020-09-30,33.44%
2020-09-02,2020-09-01,2020-09-30,22.93%
2020-09-03,2020-09-01,2020-09-30,17.54%
2020-09-04,2020-09-01,2020-09-30,15.85%
2020-09-05,2020-09-01,2020-09-30,14.59%
2020-09-06,2020-09-01,2020-09-30,13.60%
2020-09-07,2020-09-01,2020-09-30,12.80%
2020-09-14,2020-09-01,2020-09-30,9.61%
2020-09-30,2020-09-01,2020-09-30,6.91%
2020-10-01,2020-10-01,2020-10-31,27.35%
2020-10-02,2020-10-01,2020-10-31,17.76%
2020-10-03,2020-10-01,2020-10-31,13.08%
2020-10-04,2020-10-01,2020-10-31,11.98%
2020-10-05,2020-10-01,2020-10-31,11.16%
2020-10-06,2020-10-01,2020-10-31,10.50%
2020-10-07,2020-10-01,2020-10-31,9.97%
2020-10-14,2020-10-01,2020-10-31,7.79%
2020-10-30,2020-10-01,2020-10-31,5.86%
2020-11-01,2020-11-01,2020-11-30,35.19%
2020-11-02,2020-11-01,2020-11-30,24.83%
2020-11-03,2020-11-01,2020-11-30,19.39%
2020-11-04,2020-11-01,2020-11-30,16.88%
2020-11-05,2020-11-01,2020-11-30,15.07%
2020-11-06,2020-11-01,2020-11-30,13.70%
2020-11-07,2020-11-01,2020-11-30,12.61%
2020-11-14,2020-11-01,2020-11-30,8.53%
2020-11-30,2020-11-01,2020-11-30,5.44%
2020-12-01,2020-12-01,2020-12-31,34.28%
2020-12-02,2020-12-01,2020-12-31,23.01%
2020-12-03,2020-12-01,2020-12-31,17.33%
2020-12-04,2020-12-01,2020-12-31,15.19%
2020-12-05,2020-12-01,2020-12-31,13.64%
2020-12-06,2020-12-01,2020-12-31,12.46%
2020-12-07,2020-12-01,2020-12-31,11.51%
2020-12-14,2020-12-01,2020-12-31,7.94%
2020-12-30,2020-12-01,2020-12-31,5.17%
2021-01-01,2021-01-01,2021-01-31,35.11%
2021-01-02,2021-01-01,2021-01-31,23.71%
