Retention Days,Start Date,End Date,User Retention
0,2021-01-01,2021-01-31,100.00%
0,2021-02-01,2021-02-28,100.00%
0,2021-03-01,2021-03-31,100.00%
0,2021-04-01,2021-04-30,100.00%
0,2021-05-01,2021-05-31,100.00%
0,2021-06-01,2021-06-30,100.00%
0,2021-07-01,2021-07-31,100.00%
0,2021-08-01,2021-08-31,100.00%
0,2021-09-01,2021-09-30,100.00%
0,2021-10-01,2021-10-31,100.00%
0,2021-11-01,2021-11-30,100.00%
0,2021-12-01,2021-12-31,100.00%
0,2022-01-01,2022-01-31,100.00%
1,2021-01-01,2021-01-31,35.30%
1,2021-02-01,2021-02-28,37.64%
1,2021-03-01,2021-03-31,32.36%
1,2021-04-01,2021-04-30,31.96%
1,2021-05-01,2021-05-31,28.77%
1,2021-06-01,2021-06-30,29.09%
1,2021-07-01,2021-07-31,26.80%
1,2021-08-01,2021-08-31,27.70%
1,2021-09-01,2021-09-30,31.39%
1,2021-10-01,2021-10-31,34.51%
1,2021-11-01,2021-11-30,36.91%
1,2021-12-01,2021-12-31,38.08%
1,2022-01-01,2022-01-31,34.28%
2,2021-01-01,2021-01-31,26.69%
2,2021-02-01,2021-02-28,28.09%
2,2021-03-01,2021-03-31,23.75%
2,2021-04-01,2021-04-30,23.84%
2,2021-05-01,2021-05-31,22.76%
2,2021-06-01,2021-06-30,21.68%
2,2021-07-01,2021-07-31,19.21%
2,2021-08-01,2021-08-31,20.73%
2,2021-09-01,2021-09-30,23.42%
2,2021-10-01,2021-10-31,26.32%
2,2021-11-01,2021-11-30,26.84%
2,2021-12-01,2021-12-31,27.82%
2,2022-01-01,2022-01-31,25.17%
3,2021-01-01,2021-01-31,21.88%
3,2021-02-01,2021-02-28,22.82%
3,2021-03-01,2021-03-31,19.08%
3,2021-04-01,2021-04-30,19.36%
3,2021-05-01,2021-05-31,19.27%
3,2021-06-01,2021-06-30,17.59%
3,2021-07-01,2021-07-31,15.17%
3,2021-08-01,2021-08-31,16.87%
3,2021-09-01,2021-09-30,19.03%
3,2021-10-01,2021-10-31,21.72%
3,2021-11-01,2021-11-30,21.42%
3,2021-12-01,2021-12-31,22.27%
3,2022-01-01,2022-01-31,20.21%
4,2021-01-01,2021-01-31,20.36%
4,2021-02-01,2021-02-28,21.19%
4,2021-03-01,2021-03-31,17.71%
4,2021-04-01,2021-04-30,18.05%
4,2021-05-01,2021-05-31,18.08%
4,2021-06-01,2021-06-30,16.18%
4,2021-07-01,2021-07-31,14.38%
4,2021-08-01,2021-08-31,15.92%
4,2021-09-01,2021-09-30,17.94%
4,2021-10-01,2021-10-31,20.61%
4,2021-11-01,2021-11-30,20.23%
4,2021-12-01,2021-12-31,20.69%
4,2022-01-01,2022-01-31,19.31%
5,2021-01-01,2021-01-31,19.20%
5,2021-02-01,2021-02-28,19.93%
5,2021-03-01,2021-03-31,16.67%
5,2021-04-01,2021-04-30,17.04%
5,2021-05-01,2021-05-31,17.16%
5,2021-06-01,2021-06-30,15.10%
5,2021-07-01,2021-07-31,13.77%
5,2021-08-01,2021-08-31,15.18%
5,2021-09-01,2021-09-30,17.10%
5,2021-10-01,2021-10-31,19.76%
5,2021-11-01,2021-11-30,19.31%
5,2021-12-01,2021-12-31,19.47%
5,2022-01-01,2022-01-31,18.60%
6,2021-01-01,2021-01-31,18.27%
6,2021-02-01,2021-02-28,18.93%
6,2021-03-01,2021-03-31,15.83%
6,2021-04-01,2021-04-30,16.23%
6,2021-05-01,2021-05-31,16.42%
6,2021-06-01,2021-06-30,14.25%
6,2021-07-01,2021-07-31,13.27%
6,2021-08-01,2021-08-31,14.59%
6,2021-09-01,2021-09-30,16.42%
6,2021-10-01,2021-10-31,19.06%
6,2021-11-01,2021-11-30,18.56%
6,2021-12-01,2021-12-31,18.50%
6,2022-01-01,2022-01-31,18.02%
7,2021-01-01,2021-01-31,17.50%
7,2021-02-01,2021-02-28,18.11%
7,2021-03-01,2021-03-31,15.14%
7,2021-04-01,2021-04-30,15.56%
7,2021-05-01,2021-05-31,15.81%
7,2021-06-01,2021-06-30,13.55%
7,2021-07-01,2021-07-31,12.85%
7,2021-08-01,2021-08-31,14.09%
7,2021-09-01,2021-09-30,15.86%
7,2021-10-01,2021-10-31,18.47%
7,2021-11-01,2021-11-30,17.94%
7,2021-12-01,2021-12-31,17.70%
7,2022-01-01,2022-01-31,17.54%
14,2021-01-01,2021-01-31,14.28%
14,2021-02-01,2021-02-28,14.68%
14,2021-03-01,2021-03-31,12.28%
14,2021-04-01,2021-04-30,12.76%
14,2021-05-01,2021-05-31,13.21%
14,2021-06-01,2021-06-30,10.69%
14,2021-07-01,2021-07-31,11.06%
14,2021-08-01,2021-08-31,11.96%
14,2021-09-01,2021-09-30,13.44%
14,2021-10-01,2021-10-31,15.96%
14,2021-11-01,2021-11-30,15.27%
14,2021-12-01,2021-12-31,14.38%
14,2022-01-01,2022-01-31,15.42%
30,2021-01-01,2021-01-31,11.30%
30,2021-02-01,2021-02-28,11.52%
30,2021-03-01,2021-03-31,9.64%
30,2021-04-01,2021-04-30,10.15%
30,2021-05-01,2021-05-31,10.73%
30,2021-06-01,2021-06-30,8.13%
30,2021-07-01,2021-07-31,9.30%
30,2021-08-01,2021-08-31,9.90%
30,2021-09-01,2021-09-30,11.11%
30,2021-10-01,2021-10-31,13.47%
30,2021-11-01,2021-11-30,12.68%
30,2021-12-01,2021-12-31,11.31%
30,2022-01-01,2022-01-31,13.29%
