2020-04-01,2020-04-01,2020-04-30,42.98%
2020-04-02,2020-04-01,2020-04-30,31.09%
2020-04-03,2020-04-01,2020-04-30,24.71%
2020-04-04,2020-04-01,2020-04-30,20.53%
2020-04-05,2020-04-01,2020-04-30,17.65%
2020-04-06,2020-04-01,2020-04-30,15.53%
2020-04-07,2020-04-01,2020-04-30,13.90%
2020-04-14,2020-04-01,2020-04-30,8.25%
2020-04-30,2020-04-01,2020-04-30,4.52%
2020-05-01,2020-05-01,2020-05-31,49.02%
2020-05-02,2020-05-01,2020-05-31,36.72%
2020-05-03,2020-05-01,2020-05-31,29.91%
2020-05-04,2020-05-01,2020-05-31,25.06%
2020-05-05,2020-05-01,2020-05-31,21.69%
2020-05-06,2020-05-01,2020-05-31,19.20%
2020-05-07,2020-05-01,2020-05-31,17.27%
2020-05-14,2020-05-01,2020-05-31,10.49%
2020-05-30,2020-05-01,2020-05-31,5.90%
2020-06-01,2020-06-01,2020-06-30,37.51%
2020-06-02,2020-06-01,2020-06-30,26.73%
2020-06-03,2020-06-01,2020-06-30,21.02%
2020-06-04,2020-06-01,2020-06-30,18.21%
2020-06-05,2020-06-01,2020-06-30,16.20%
2020-06-06,2020-06-01,2020-06-30,14.67%
2020-06-07,2020-06-01,2020-06-30,13.46%
2020-06-14,2020-06-01,2020-06-30,8.98%
2020-06-30,2020-06-01,2020-06-30,5.63%
2020-07-01,2020-07-01,2020-07-31,43.71%
2020-07-02,2020-07-01,2020-07-31,31.37%
2020-07-03,2020-07-01,2020-07-31,24.79%
2020-07-04,2020-07-01,2020-07-31,21.37%
2020-07-05,2020-07-01,2020-07-31,18.93%
2020-07-06,2020-07-01,2020-07-31,17.08%
2020-07-07,2020-07-01,2020-07-31,15.63%
2020-07-14,2020-07-01,2020-07-31,10.29%
2020-07-30,2020-07-01,2020-07-31,6.35%
2020-08-01,2020-08-01,2020-08-31,36.50%
2020-08-02,2020-08-01,2020-08-31,27.83%
2020-08-03,2020-08-01,2020-08-31,22.96%
2020-08-04,2020-08-01,2020-08-31,20.16%
2020-08-05,2020-08-01,2020-08-31,18.13%
2020-08-06,2020-08-01,2020-08-31,16.57%
2020-08-07,2020-08-01,2020-08-31,15.33%
2020-08-14,2020-08-01,2020-08-31,10.63%
2020-08-30,2020-08-01,2020-08-31,6.97%
2020-09-01,2020-09-01,2020-09-30,36.97%
2020-09-02,2020-09-01,2020-09-30,28.54%
2020-09-03,2020-09-01,2020-09-30,23.76%
2020-09-04,2020-09-01,2020-09-30,21.13%
2020-09-05,2020-09-01,2020-09-30,19.20%
2020-09-06,2020-09-01,2020-09-30,17.71%
2020-09-07,2020-09-01,2020-09-30,16.51%
2020-09-14,2020-09-01,2020-09-30,11.86%
2020-09-30,2020-09-01,2020-09-30,8.10%
2020-10-01,2020-10-01,2020-10-31,39.69%
2020-10-02,2020-10-01,2020-10-31,29.66%
2020-10-03,2020-10-01,2020-10-31,24.12%
2020-10-04,2020-10-01,2020-10-31,22.24%
2020-10-05,2020-10-01,2020-10-31,20.81%
2020-10-06,2020-10-01,2020-10-31,19.68%
2020-10-07,2020-10-01,2020-10-31,18.74%
2020-10-14,2020-10-01,2020-10-31,14.91%
2020-10-30,2020-10-01,2020-10-31,11.45%
2020-11-01,2020-11-01,2020-11-30,38.54%
2020-11-02,2020-11-01,2020-11-30,28.97%
2020-11-03,2020-11-01,2020-11-30,23.65%
2020-11-04,2020-11-01,2020-11-30,21.72%
2020-11-05,2020-11-01,2020-11-30,20.27%
2020-11-06,2020-11-01,2020-11-30,19.11%
2020-11-07,2020-11-01,2020-11-30,18.16%
2020-11-14,2020-11-01,2020-11-30,14.29%
2020-11-30,2020-11-01,2020-11-30,10.83%
2020-12-01,2020-12-01,2020-12-31,37.66%
2020-12-02,2020-12-01,2020-12-31,28.89%
2020-12-03,2020-12-01,2020-12-31,23.93%
2020-12-04,2020-12-01,2020-12-31,21.95%
2020-12-05,2020-12-01,2020-12-31,20.46%
2020-12-06,2020-12-01,2020-12-31,19.27%
2020-12-07,2020-12-01,2020-12-31,18.30%
2020-12-14,2020-12-01,2020-12-31,14.35%
2020-12-30,2020-12-01,2020-12-31,10.83%
2021-01-01,2021-01-01,2021-01-31,35.30%
2021-01-02,2021-01-01,2021-01-31,26.69%
2021-01-03,2021-01-01,2021-01-31,21.88%
2021-01-04,2021-01-01,2021-01-31,20.36%
2021-01-05,2021-01-01,2021-01-31,19.20%
2021-01-06,2021-01-01,2021-01-31,18.27%
2021-01-07,2021-01-01,2021-01-31,17.50%
2021-01-14,2021-01-01,2021-01-31,14.28%
2021-01-30,2021-01-01,2021-01-31,11.30%
2021-02-01,2021-02-01,2021-02-28,37.64%
2021-02-02,2021-02-01,2021-02-28,28.09%
2021-02-03,2021-02-01,2021-02-28,22.82%
2021-02-04,2021-02-01,2021-02-28,21.19%
2021-02-05,2021-02-01,2021-02-28,19.93%
2021-02-06,2021-02-01,2021-02-28,18.93%
2021-02-07,2021-02-01,2021-02-28,18.11%
2021-02-14,2021-02-01,2021-02-28,14.68%
2021-02-27,2021-02-01,2021-02-28,11.52%
2021-03-01,2021-03-01,2021-03-31,32.36%
2021-03-02,2021-03-01,2021-03-31,23.75%
2021-03-03,2021-03-01,2021-03-31,19.08%
2021-03-04,2021-03-01,2021-03-31,17.71%
2021-03-05,2021-03-01,2021-03-31,16.67%
2021-03-06,2021-03-01,2021-03-31,15.83%
