Retention Days,Start Date,End Date,User Retention
0,2020-01-01,2020-01-31,100.00%
0,2020-02-01,2020-02-29,100.00%
0,2020-03-01,2020-03-31,100.00%
0,2020-04-01,2020-04-30,100.00%
0,2020-05-01,2020-05-31,100.00%
0,2020-06-01,2020-06-30,100.00%
0,2020-07-01,2020-07-31,100.00%
0,2020-08-01,2020-08-31,100.00%
0,2020-09-01,2020-09-30,100.00%
0,2020-10-01,2020-10-31,100.00%
0,2020-11-01,2020-11-30,100.00%
0,2020-12-01,2020-12-31,100.00%
0,2021-01-01,2021-01-31,100.00%
1,2020-01-01,2020-01-31,34.62%
1,2020-02-01,2020-02-29,35.66%
1,2020-03-01,2020-03-31,35.35%
1,2020-04-01,2020-04-30,33.14%
1,2020-05-01,2020-05-31,32.12%
1,2020-06-01,2020-06-30,32.09%
1,2020-07-01,2020-07-31,31.92%
1,2020-08-01,2020-08-31,31.99%
1,2020-09-01,2020-09-30,34.16%
1,2020-10-01,2020-10-31,34.97%
1,2020-11-01,2020-11-30,36.38%
1,2020-12-01,2020-12-31,35.46%
1,2021-01-01,2021-01-31,32.85%
2,2020-01-01,2020-01-31,26.90%
2,2020-02-01,2020-02-29,27.49%
2,2020-03-01,2020-03-31,27.70%
2,2020-04-01,2020-04-30,25.84%
2,2020-05-01,2020-05-31,24.52%
2,2020-06-01,2020-06-30,23.80%
2,2020-07-01,2020-07-31,24.04%
2,2020-08-01,2020-08-31,22.65%
2,2020-09-01,2020-09-30,26.20%
2,2020-10-01,2020-10-31,27.04%
2,2020-11-01,2020-11-30,26.41%
2,2020-12-01,2020-12-31,25.63%
2,2021-01-01,2021-01-31,24.91%
3,2020-01-01,2020-01-31,22.49%
3,2020-02-01,2020-02-29,22.86%
3,2020-03-01,2020-03-31,23.30%
3,2020-04-01,2020-04-30,21.65%
3,2020-05-01,2020-05-31,20.25%
3,2020-06-01,2020-06-30,19.25%
3,2020-07-01,2020-07-31,19.66%
3,2020-08-01,2020-08-31,17.73%
3,2020-09-01,2020-09-30,21.70%
3,2020-10-01,2020-10-31,22.53%
3,2020-11-01,2020-11-30,21.05%
3,2020-12-01,2020-12-31,20.36%
3,2021-01-01,2021-01-31,20.47%
4,2020-01-01,2020-01-31,21.03%
4,2020-02-01,2020-02-29,21.23%
4,2020-03-01,2020-03-31,21.63%
4,2020-04-01,2020-04-30,20.16%
4,2020-05-01,2020-05-31,18.99%
4,2020-06-01,2020-06-30,18.01%
4,2020-07-01,2020-07-31,18.37%
4,2020-08-01,2020-08-31,16.43%
4,2020-09-01,2020-09-30,20.28%
4,2020-10-01,2020-10-31,20.93%
4,2020-11-01,2020-11-30,19.43%
4,2020-12-01,2020-12-31,18.70%
4,2021-01-01,2021-01-31,18.99%
5,2020-01-01,2020-01-31,19.91%
5,2020-02-01,2020-02-29,19.98%
5,2020-03-01,2020-03-31,20.35%
5,2020-04-01,2020-04-30,19.01%
5,2020-05-01,2020-05-31,18.02%
5,2020-06-01,2020-06-30,17.06%
5,2020-07-01,2020-07-31,17.38%
5,2020-08-01,2020-08-31,15.44%
5,2020-09-01,2020-09-30,19.19%
5,2020-10-01,2020-10-31,19.72%
5,2020-11-01,2020-11-30,18.20%
5,2020-12-01,2020-12-31,17.44%
5,2021-01-01,2021-01-31,17.86%
6,2020-01-01,2020-01-31,19.01%
6,2020-02-01,2020-02-29,18.99%
6,2020-03-01,2020-03-31,19.34%
6,2020-04-01,2020-04-30,18.09%
6,2020-05-01,2020-05-31,17.24%
6,2020-06-01,2020-06-30,16.29%
6,2020-07-01,2020-07-31,16.59%
6,2020-08-01,2020-08-31,14.64%
6,2020-09-01,2020-09-30,18.31%
6,2020-10-01,2020-10-31,18.74%
6,2020-11-01,2020-11-30,17.22%
6,2020-12-01,2020-12-31,16.44%
6,2021-01-01,2021-01-31,16.95%
7,2020-01-01,2020-01-31,18.27%
7,2020-02-01,2020-02-29,18.16%
7,2020-03-01,2020-03-31,18.49%
7,2020-04-01,2020-04-30,17.33%
7,2020-05-01,2020-05-31,16.59%
7,2020-06-01,2020-06-30,15.66%
7,2020-07-01,2020-07-31,15.93%
7,2020-08-01,2020-08-31,13.99%
7,2020-09-01,2020-09-30,17.59%
7,2020-10-01,2020-10-31,17.94%
7,2020-11-01,2020-11-30,16.42%
7,2020-12-01,2020-12-31,15.63%
7,2021-01-01,2021-01-31,16.21%
14,2020-01-01,2020-01-31,15.13%
14,2020-02-01,2020-02-29,14.75%
14,2020-03-01,2020-03-31,15.00%
14,2020-04-01,2020-04-30,14.17%
14,2020-05-01,2020-05-31,13.84%
14,2020-06-01,2020-06-30,12.98%
14,2020-07-01,2020-07-31,13.16%
14,2020-08-01,2020-08-31,11.29%
14,2020-09-01,2020-09-30,14.53%
14,2020-10-01,2020-10-31,14.59%
14,2020-11-01,2020-11-30,13.11%
14,2020-12-01,2020-12-31,12.29%
14,2021-01-01,2021-01-31,13.11%
30,2020-01-01,2020-01-31,12.17%
30,2020-02-01,2020-02-29,11.59%
30,2020-03-01,2020-03-31,11.77%
30,2020-04-01,2020-04-30,11.22%
30,2020-05-01,2020-05-31,11.23%
30,2020-06-01,2020-06-30,10.45%
30,2020-07-01,2020-07-31,10.56%
30,2020-08-01,2020-08-31,8.81%
30,2020-09-01,2020-09-30,11.66%
30,2020-10-01,2020-10-31,11.49%
30,2020-11-01,2020-11-30,10.11%
30,2020-12-01,2020-12-31,9.32%
30,2021-01-01,2021-01-31,10.27%
