Retention Days,Start Date,End Date,User Retention
0,2021-01-01,2021-01-31,100.00%
0,2021-02-01,2021-02-28,100.00%
0,2021-03-01,2021-03-31,100.00%
0,2021-04-01,2021-04-30,100.00%
0,2021-05-01,2021-05-31,100.00%
0,2021-06-01,2021-06-30,100.00%
0,2021-07-01,2021-07-31,100.00%
0,2021-08-01,2021-08-31,100.00%
0,2021-09-01,2021-09-30,100.00%
0,2021-10-01,2021-10-31,100.00%
0,2021-11-01,2021-11-30,100.00%
0,2021-12-01,2021-12-31,100.00%
0,2022-01-01,2022-01-31,100.00%
1,2021-01-01,2021-01-31,32.85%
1,2021-02-01,2021-02-28,31.58%
1,2021-03-01,2021-03-31,33.19%
1,2021-04-01,2021-04-30,31.13%
1,2021-05-01,2021-05-31,31.40%
1,2021-06-01,2021-06-30,27.52%
1,2021-07-01,2021-07-31,26.85%
1,2021-08-01,2021-08-31,29.53%
1,2021-09-01,2021-09-30,31.24%
1,2021-10-01,2021-10-31,31.07%
1,2021-11-01,2021-11-30,31.52%
1,2021-12-01,2021-12-31,31.88%
1,2022-01-01,2022-01-31,30.98%
2,2021-01-01,2021-01-31,24.91%
2,2021-02-01,2021-02-28,22.77%
2,2021-03-01,2021-03-31,24.04%
2,2021-04-01,2021-04-30,22.93%
2,2021-05-01,2021-05-31,23.39%
2,2021-06-01,2021-06-30,20.16%
2,2021-07-01,2021-07-31,19.19%
2,2021-08-01,2021-08-31,21.74%
2,2021-09-01,2021-09-30,23.38%
2,2021-10-01,2021-10-31,22.86%
2,2021-11-01,2021-11-30,23.06%
2,2021-12-01,2021-12-31,23.20%
2,2022-01-01,2022-01-31,22.72%
3,2021-01-01,2021-01-31,20.47%
3,2021-02-01,2021-02-28,18.06%
3,2021-03-01,2021-03-31,19.13%
3,2021-04-01,2021-04-30,18.46%
3,2021-05-01,2021-05-31,18.98%
3,2021-06-01,2021-06-30,16.16%
3,2021-07-01,2021-07-31,15.13%
3,2021-08-01,2021-08-31,17.49%
3,2021-09-01,2021-09-30,19.04%
3,2021-10-01,2021-10-31,18.40%
3,2021-11-01,2021-11-30,18.47%
3,2021-12-01,2021-12-31,18.52%
3,2022-01-01,2022-01-31,18.23%
4,2021-01-01,2021-01-31,18.99%
4,2021-02-01,2021-02-28,17.00%
4,2021-03-01,2021-03-31,17.82%
4,2021-04-01,2021-04-30,17.34%
4,2021-05-01,2021-05-31,17.80%
4,2021-06-01,2021-06-30,15.36%
4,2021-07-01,2021-07-31,14.49%
4,2021-08-01,2021-08-31,16.79%
4,2021-09-01,2021-09-30,18.44%
4,2021-10-01,2021-10-31,17.73%
4,2021-11-01,2021-11-30,17.69%
4,2021-12-01,2021-12-31,17.63%
4,2022-01-01,2022-01-31,17.43%
5,2021-01-01,2021-01-31,17.86%
5,2021-02-01,2021-02-28,16.18%
5,2021-03-01,2021-03-31,16.82%
5,2021-04-01,2021-04-30,16.48%
5,2021-05-01,2021-05-31,16.90%
5,2021-06-01,2021-06-30,14.73%
5,2021-07-01,2021-07-31,13.99%
5,2021-08-01,2021-08-31,16.25%
5,2021-09-01,2021-09-30,17.96%
5,2021-10-01,2021-10-31,17.21%
5,2021-11-01,2021-11-30,17.09%
5,2021-12-01,2021-12-31,16.93%
5,2022-01-01,2022-01-31,16.80%
6,2021-01-01,2021-01-31,16.95%
6,2021-02-01,2021-02-28,15.52%
6,2021-03-01,2021-03-31,16.02%
6,2021-04-01,2021-04-30,15.78%
6,2021-05-01,2021-05-31,16.17%
6,2021-06-01,2021-06-30,14.22%
6,2021-07-01,2021-07-31,13.58%
6,2021-08-01,2021-08-31,15.80%
6,2021-09-01,2021-09-30,17.57%
6,2021-10-01,2021-10-31,16.77%
6,2021-11-01,2021-11-30,16.59%
6,2021-12-01,2021-12-31,16.36%
6,2022-01-01,2022-01-31,16.29%
7,2021-01-01,2021-01-31,16.21%
7,2021-02-01,2021-02-28,14.97%
7,2021-03-01,2021-03-31,15.36%
7,2021-04-01,2021-04-30,15.20%
7,2021-05-01,2021-05-31,15.56%
7,2021-06-01,2021-06-30,13.80%
7,2021-07-01,2021-07-31,13.24%
7,2021-08-01,2021-08-31,15.42%
7,2021-09-01,2021-09-30,17.23%
7,2021-10-01,2021-10-31,16.41%
7,2021-11-01,2021-11-30,16.17%
7,2021-12-01,2021-12-31,15.88%
7,2022-01-01,2022-01-31,15.86%
14,2021-01-01,2021-01-31,13.11%
14,2021-02-01,2021-02-28,12.62%
14,2021-03-01,2021-03-31,12.59%
14,2021-04-01,2021-04-30,12.75%
14,2021-05-01,2021-05-31,12.99%
14,2021-06-01,2021-06-30,11.95%
14,2021-07-01,2021-07-31,11.73%
14,2021-08-01,2021-08-31,13.77%
14,2021-09-01,2021-09-30,15.75%
14,2021-10-01,2021-10-31,14.79%
14,2021-11-01,2021-11-30,14.34%
14,2021-12-01,2021-12-31,13.81%
14,2022-01-01,2022-01-31,13.97%
30,2021-01-01,2021-01-31,10.27%
30,2021-02-01,2021-02-28,10.37%
30,2021-03-01,2021-03-31,10.01%
30,2021-04-01,2021-04-30,10.40%
30,2021-05-01,2021-05-31,10.55%
30,2021-06-01,2021-06-30,10.13%
30,2021-07-01,2021-07-31,10.21%
30,2021-08-01,2021-08-31,12.07%
30,2021-09-01,2021-09-30,14.19%
30,2021-10-01,2021-10-31,13.12%
30,2021-11-01,2021-11-30,12.48%
30,2021-12-01,2021-12-31,11.76%
30,2022-01-01,2022-01-31,12.07%
