2020-01-01,2020-01-01,2020-01-31,34.62%
2020-01-02,2020-01-01,2020-01-31,26.90%
2020-01-03,2020-01-01,2020-01-31,22.49%
2020-01-04,2020-01-01,2020-01-31,21.03%
2020-01-05,2020-01-01,2020-01-31,19.91%
2020-01-06,2020-01-01,2020-01-31,19.01%
2020-01-07,2020-01-01,2020-01-31,18.27%
2020-01-14,2020-01-01,2020-01-31,15.13%
2020-01-30,2020-01-01,2020-01-31,12.17%
2020-02-01,2020-02-01,2020-02-29,35.66%
2020-02-02,2020-02-01,2020-02-29,27.49%
2020-02-03,2020-02-01,2020-02-29,22.86%
2020-02-04,2020-02-01,2020-02-29,21.23%
2020-02-05,2020-02-01,2020-02-29,19.98%
2020-02-06,2020-02-01,2020-02-29,18.99%
2020-02-07,2020-02-01,2020-02-29,18.16%
2020-02-14,2020-02-01,2020-02-29,14.75%
2020-02-27,2020-02-01,2020-02-29,11.59%
2020-03-01,2020-03-01,2020-03-31,35.35%
2020-03-02,2020-03-01,2020-03-31,27.70%
2020-03-03,2020-03-01,2020-03-31,23.30%
2020-03-04,2020-03-01,2020-03-31,21.63%
2020-03-05,2020-03-01,2020-03-31,20.35%
2020-03-06,2020-03-01,2020-03-31,19.34%
2020-03-07,2020-03-01,2020-03-31,18.49%
2020-03-14,2020-03-01,2020-03-31,15.00%
2020-03-30,2020-03-01,2020-03-31,11.77%
2020-04-01,2020-04-01,2020-04-30,33.14%
2020-04-02,2020-04-01,2020-04-30,25.84%
2020-04-03,2020-04-01,2020-04-30,21.65%
2020-04-04,2020-04-01,2020-04-30,20.16%
2020-04-05,2020-04-01,2020-04-30,19.01%
2020-04-06,2020-04-01,2020-04-30,18.09%
2020-04-07,2020-04-01,2020-04-30,17.33%
2020-04-14,2020-04-01,2020-04-30,14.17%
2020-04-30,2020-04-01,2020-04-30,11.22%
2020-05-01,2020-05-01,2020-05-31,32.12%
2020-05-02,2020-05-01,2020-05-31,24.52%
2020-05-03,2020-05-01,2020-05-31,20.25%
2020-05-04,2020-05-01,2020-05-31,18.99%
2020-05-05,2020-05-01,2020-05-31,18.02%
2020-05-06,2020-05-01,2020-05-31,17.24%
2020-05-07,2020-05-01,2020-05-31,16.59%
2020-05-14,2020-05-01,2020-05-31,13.84%
2020-05-30,2020-05-01,2020-05-31,11.23%
2020-06-01,2020-06-01,2020-06-30,32.09%
2020-06-02,2020-06-01,2020-06-30,23.80%
2020-06-03,2020-06-01,2020-06-30,19.25%
2020-06-04,2020-06-01,2020-06-30,18.01%
2020-06-05,2020-06-01,2020-06-30,17.06%
2020-06-06,2020-06-01,2020-06-30,16.29%
2020-06-07,2020-06-01,2020-06-30,15.66%
2020-06-14,2020-06-01,2020-06-30,12.98%
2020-06-30,2020-06-01,2020-06-30,10.45%
2020-07-01,2020-07-01,2020-07-31,31.92%
2020-07-02,2020-07-01,2020-07-31,24.04%
2020-07-03,2020-07-01,2020-07-31,19.66%
2020-07-04,2020-07-01,2020-07-31,18.37%
2020-07-05,2020-07-01,2020-07-31,17.38%
2020-07-06,2020-07-01,2020-07-31,16.59%
2020-07-07,2020-07-01,2020-07-31,15.93%
2020-07-14,2020-07-01,2020-07-31,13.16%
2020-07-30,2020-07-01,2020-07-31,10.56%
2020-08-01,2020-08-01,2020-08-31,31.99%
2020-08-02,2020-08-01,2020-08-31,22.65%
2020-08-03,2020-08-01,2020-08-31,17.73%
2020-08-04,2020-08-01,2020-08-31,16.43%
2020-08-05,2020-08-01,2020-08-31,15.44%
2020-08-06,2020-08-01,2020-08-31,14.64%
2020-08-07,2020-08-01,2020-08-31,13.99%
2020-08-14,2020-08-01,2020-08-31,11.29%
2020-08-30,2020-08-01,2020-08-31,8.81%
2020-09-01,2020-09-01,2020-09-30,34.16%
2020-09-02,2020-09-01,2020-09-30,26.20%
2020-09-03,2020-09-01,2020-09-30,21.70%
2020-09-04,2020-09-01,2020-09-30,20.28%
2020-09-05,2020-09-01,2020-09-30,19.19%
2020-09-06,2020-09-01,2020-09-30,18.31%
2020-09-07,2020-09-01,2020-09-30,17.59%
2020-09-14,2020-09-01,2020-09-30,14.53%
2020-09-30,2020-09-01,2020-09-30,11.66%
2020-10-01,2020-10-01,2020-10-31,34.97%
2020-10-02,2020-10-01,2020-10-31,27.04%
2020-10-03,2020-10-01,2020-10-31,22.53%
2020-10-04,2020-10-01,2020-10-31,20.93%
2020-10-05,2020-10-01,2020-10-31,19.72%
2020-10-06,2020-10-01,2020-10-31,18.74%
2020-10-07,2020-10-01,2020-10-31,17.94%
2020-10-14,2020-10-01,2020-10-31,14.59%
2020-10-30,2020-10-01,2020-10-31,11.49%
2020-11-01,2020-11-01,2020-11-30,36.38%
2020-11-02,2020-11-01,2020-11-30,26.41%
2020-11-03,2020-11-01,2020-11-30,21.05%
2020-11-04,2020-11-01,2020-11-30,19.43%
2020-11-05,2020-11-01,2020-11-30,18.20%
2020-11-06,2020-11-01,2020-11-30,17.22%
2020-11-07,2020-11-01,2020-11-30,16.42%
2020-11-14,2020-11-01,2020-11-30,13.11%
2020-11-30,2020-11-01,2020-11-30,10.11%
2020-12-01,2020-12-01,2020-12-31,35.46%
2020-12-02,2020-12-01,2020-12-31,25.63%
2020-12-03,2020-12-01,2020-12-31,20.36%
2020-12-04,2020-12-01,2020-12-31,18.70%
2020-12-05,2020-12-01,2020-12-31,17.44%
2020-12-06,2020-12-01,2020-12-31,16.44%
2020-12-07,2020-12-01,2020-12-31,15.63%
2020-12-14,2020-12-01,2020-12-31,12.29%
2020-12-30,2020-12-01,2020-12-31,9.32%
